step,elapsed_us
0,725
10000,175770
20000,265825
30000,355184
40000,445331
50000,545331
60000,656209
70000,768358
80000,883022
90000,992174
100000,1102949
110000,1209256
120000,1314395
130000,1417934
140000,1545821
150000,1675669
160000,1797698
170000,1919235
180000,2044705
190000,2180107
200000,2384428
210000,2588782
220000,2801908
230000,3007926
240000,3226028
250000,3431464
260000,3621753
270000,3805339
280000,4006208
290000,4202719
300000,4395324
310000,4589323
320000,4785115
330000,4978631
340000,5182782
350000,5387494
360000,5586123
370000,5785970
380000,5996159
390000,6195168
400000,6393148
410000,6588292
420000,6784271
430000,6977975
440000,7172063
450000,7370783
460000,7568690
470000,7766776
480000,7963613
490000,8170328
500000,8299540
510000,8403456
520000,8513835
530000,8615156
540000,8723907
550000,8910240
560000,9111182
570000,9314285
580000,9515476
590000,9717005
600000,9919855
610000,10120588
620000,10323069
630000,10525596
640000,10727404
650000,10928984
660000,11130501
670000,11332437
680000,11535082
690000,11737497
700000,11939990
710000,12144397
720000,12346403
730000,12547774
740000,12749682
750000,12952797
760000,13155175
770000,13358773
780000,13564299
790000,13766751
800000,13972278
810000,14175813
820000,14382128
830000,14587581
840000,14792280
850000,14995989
860000,15205955
870000,15409524
880000,15612734
890000,15814855
900000,16019374
910000,16223253
920000,16428506
930000,16632320
940000,16837756
950000,17043461
960000,17245524
970000,17449276
980000,17651916
990000,17855819
1000000,18058080
1010000,18260011
1020000,18463137
1030000,18665693
1040000,18868631
1050000,19076902
1060000,19283774
1070000,19489520
1080000,19700051
1090000,19904451
1100000,20110647
1110000,20315812
1120000,20522171
1130000,20726144
1140000,20930919
1150000,21135557
1160000,21340060
1170000,21544735
1180000,21751164
1190000,21957960
1200000,22164396
1210000,22370366
1220000,22575229
1230000,22780268
1240000,22985283
1250000,23189475
1260000,23394789
1270000,23600209
1280000,23805899
1290000,24010455
1300000,24216028
1310000,24420188
1320000,24628308
1330000,24830932
1340000,25033741
1350000,25235233
1360000,25436715
1370000,25638153
1380000,25839609
1390000,26041607
1400000,26243979
1410000,26446066
1420000,26647746
1430000,26851325
1440000,27056062
1450000,27260941
1460000,27465466
1470000,27670983
1480000,27876327
1490000,28084501
1500000,28263407
1510000,28381845
1520000,28500363
1530000,28618464
1540000,28750839
1550000,28869892
1560000,28988711
1570000,29106595
1580000,29239363
1590000,29357936
1600000,29476615
1610000,29595626
1620000,29718030
1630000,29847661
1640000,29967430
1650000,30086219
1660000,30206197
1670000,30370197
1680000,30549455
1690000,30733870
1700000,30933505
1710000,31135410
1720000,31339793
1730000,31546543
1740000,31750412
1750000,31957468
1760000,32160095
1770000,32358824
1780000,32504560
1790000,32638954
1800000,32807383
