step,elapsed_us
0,706
10000,168096
20000,254678
30000,340994
40000,427008
50000,523326
60000,629924
70000,736991
80000,844416
90000,945888
100000,1045389
110000,1144909
120000,1245422
130000,1344853
140000,1459725
150000,1591434
160000,1708723
170000,1825443
180000,1946518
190000,2076577
200000,2273660
210000,2469238
220000,2666201
230000,2872553
240000,3083325
250000,3279901
260000,3461476
270000,3637877
280000,3824375
290000,4018653
300000,4203879
310000,4390003
320000,4578079
330000,4763314
340000,4957324
350000,5152478
360000,5342069
370000,5533155
380000,5736880
390000,5927814
400000,6117459
410000,6306942
420000,6495722
430000,6681919
440000,6869705
450000,7060512
460000,7251422
470000,7442838
480000,7631701
490000,7822969
500000,7939364
510000,8033918
520000,8133634
530000,8232906
540000,8338112
550000,8517626
560000,8712444
570000,8905286
580000,9099801
590000,9294849
600000,9489774
610000,9682127
620000,9875587
630000,10069279
640000,10262896
650000,10456429
660000,10648562
670000,10843389
680000,11036849
690000,11231263
700000,11425445
710000,11619633
720000,11812665
730000,12005055
740000,12199207
750000,12394428
760000,12589283
770000,12783074
780000,12976688
790000,13168878
800000,13363768
810000,13557003
820000,13751311
830000,13946253
840000,14143940
850000,14339458
860000,14532889
870000,14728550
880000,14924633
890000,15126341
900000,15321612
910000,15515706
920000,15710370
930000,15904892
940000,16099462
950000,16294454
960000,16487370
970000,16681214
980000,16875043
990000,17069800
1000000,17264632
1010000,17456423
1020000,17652325
1030000,17844810
1040000,18037605
1050000,18246311
1060000,18460589
1070000,18674374
1080000,18869617
1090000,19070900
1100000,19268240
1110000,19465503
1120000,19667843
1130000,19863480
1140000,20060126
1150000,20257649
1160000,20454068
1170000,20650829
1180000,20848491
1190000,21046172
1200000,21243957
1210000,21440887
1220000,21637020
1230000,21833223
1240000,22029428
1250000,22224908
1260000,22419516
1270000,22614066
1280000,22808600
1290000,23002619
1300000,23197387
1310000,23391452
1320000,23587319
1330000,23785028
1340000,23981331
1350000,24179294
1360000,24377626
1370000,24579767
1380000,24775947
1390000,24971245
1400000,25168982
1410000,25364466
1420000,25558713
1430000,25754267
1440000,25951147
1450000,26148527
1460000,26344503
1470000,26541092
1480000,26737573
1490000,26934206
1500000,27105321
1510000,27219361
1520000,27333162
1530000,27447119
1540000,27574144
1550000,27688508
1560000,27802511
1570000,27915715
1580000,28043610
1590000,28160290
1600000,28274196
1610000,28388031
1620000,28505888
1630000,28630260
1640000,28744415
1650000,28858503
1660000,28973797
1670000,29129594
1680000,29301493
1690000,29477299
1700000,29668368
1710000,29860706
1720000,30054747
1730000,30247126
1740000,30439944
1750000,30633967
1760000,30827254
1770000,31014319
1780000,31153167
1790000,31281855
1800000,31442426
1810000,31621768
1820000,31815988
1830000,32011146
1840000,32205894
1850000,32401117
1860000,32591665
1870000,32786165
1880000,32980649
1890000,33176169
1900000,33369882
1910000,33563975
1920000,33758948
1930000,33952782
1940000,34146474
1950000,34360225
1960000,34554241
1970000,34748918
1980000,34943006
1990000,35136309
2000000,35329999
2010000,35524858
2020000,35719561
2030000,35914162
2040000,36107268
2050000,36302215
2060000,36501930
2070000,36694946
2080000,36888573
2090000,37085932
2100000,37293614
2110000,37487944
2120000,37682598
2130000,37877187
2140000,38070453
2150000,38265457
2160000,38459253
2170000,38654978
2180000,38851756
2190000,39046230
2200000,39241480
2210000,39437460
2220000,39633911
2230000,39828023
2240000,40023550
2250000,40217027
2260000,40410634
2270000,40605086
2280000,40800144
2290000,40994771
2300000,41189482
2310000,41384221
2320000,41579402
2330000,41774711
2340000,41971062
2350000,42166992
2360000,42362770
2370000,42557700
2380000,42753631
2390000,42948828
2400000,43144467
2410000,43340386
2420000,43535965
2430000,43732590
2440000,43929313
2450000,44133363
2460000,44331019
2470000,44528348
2480000,44725600
2490000,44921343
2500000,45117359
2510000,45313630
2520000,45509992
2530000,45705576
2540000,45901978
2550000,46098336
2560000,46294866
2570000,46490292
2580000,46685767
2590000,46881459
2600000,47077468
2610000,47273296
2620000,47470457
2630000,47667756
2640000,47864532
2650000,48061621
2660000,48255409
2670000,48453427
2680000,48646752
2690000,48839963
2700000,49035377
2710000,49229191
2720000,49422384
2730000,49615780
2740000,49811129
2750000,50006167
2760000,50201368
2770000,50395791
2780000,50588783
2790000,50782292
2800000,50983552
2810000,51197375
2820000,51393713
2830000,51588706
2840000,51783817
2850000,51979314
2860000,52171428
2870000,52362953
2880000,52554473
2890000,52747309
2900000,52942870
2910000,53136017
2920000,53328846
2930000,53527154
2940000,53721046
2950000,53917918
2960000,54116477
2970000,54313985
2980000,54510361
2990000,54706495
3000000,54901979
3010000,55098281
3020000,55277168
3030000,55391206
3040000,55505396
3050000,55619589
3060000,55747270
3070000,55861605
3080000,55975897
3090000,56090460
3100000,56212667
3110000,56332318
3120000,56445975
3130000,56559844
3140000,56673665
3150000,56801907
3160000,56915305
3170000,57029333
3180000,57144595
3190000,57284021
3200000,57463563
3210000,57648169
3220000,57833624
3230000,58022821
3240000,58210654
3250000,58402125
3260000,58596719
3270000,58796750
3280000,58993944
3290000,59190749
3300000,59387712
3310000,59583691
3320000,59778618
3330000,59924425
3340000,60083230
3350000,60275753
3360000,60469347
3370000,60662534
3380000,60854876
3390000,61048353
3400000,61241319
3410000,61434646
3420000,61625018
3430000,61818615
3440000,62012261
3450000,62205831
3460000,62398560
3470000,62592748
3480000,62787892
3490000,62963274
3500000,63141685
3510000,63327573
3520000,63518682
3530000,63711651
3540000,63903076
3550000,64098148
3560000,64289209
3570000,64482441
3580000,64675971
3590000,64866279
3600000,65061129
3610000,65237686
3620000,65408351
3630000,65598134
3640000,65790836
3650000,65982865
3660000,66174918
3670000,66369094
3680000,66564373
3690000,66759989
3700000,66955724
3710000,67150288
3720000,67344255
3730000,67538247
3740000,67732214
3750000,67924411
3760000,68118296
3770000,68309399
3780000,68500307
3790000,68694988
3800000,68889000
3810000,69086594
3820000,69306672
3830000,69508104
3840000,69705594
3850000,69904902
3860000,70102000
3870000,70298285
3880000,70495432
3890000,70690035
3900000,70883403
3910000,71077776
3920000,71272043
3930000,71466694
3940000,71660851
3950000,71857156
3960000,72051891
3970000,72246210
3980000,72439891
3990000,72632735
4000000,72826305
4010000,73019340
4020000,73212564
4030000,73407089
4040000,73599845
4050000,73793011
4060000,73988069
4070000,74181359
4080000,74378587
4090000,74571476
4100000,74764681
4110000,74963070
4120000,75155948
4130000,75351831
4140000,75544576
4150000,75737232
4160000,75930422
4170000,76123009
4180000,76315800
4190000,76508728
4200000,76701126
4210000,76893728
4220000,77086719
4230000,77279092
4240000,77472078
4250000,77668553
4260000,77861416
4270000,78054362
4280000,78247505
4290000,78440437
4300000,78633484
4310000,78826169
4320000,79025023
4330000,79218413
4340000,79412939
4350000,79607213
4360000,79804835
4370000,79997814
4380000,80191198
4390000,80389729
4400000,80582398
4410000,80775353
4420000,80967555
4430000,81160459
4440000,81353109
4450000,81545538
4460000,81738684
4470000,81931423
4480000,82124042
4490000,82317568
4500000,82510385
4510000,82703265
4520000,82896308
4530000,83088805
4540000,83281680
4550000,83474074
4560000,83670074
4570000,83890832
4580000,84095775
4590000,84292291
4600000,84487811
4610000,84681138
4620000,84875103
4630000,85068879
4640000,85261884
4650000,85455874
4660000,85649526
4670000,85842641
4680000,86036274
4690000,86229627
4700000,86422991
4710000,86616874
4720000,86810512
4730000,87004131
4740000,87208566
4750000,87401845
4760000,87595634
4770000,87791884
4780000,87985064
4790000,88178884
4800000,88372190
4810000,88565689
4820000,88759987
4830000,88952946
4840000,89146474
4850000,89339778
4860000,89533311
4870000,89727020
4880000,89920897
4890000,90114884
4900000,90309169
4910000,90502260
4920000,90696224
4930000,90889615
4940000,91082590
4950000,91278307
4960000,91471663
4970000,91668140
4980000,91861599
4990000,92059822
5000000,92253495
5010000,92447753
5020000,92646503
5030000,92840142
5040000,93033886
5050000,93226938
5060000,93421080
5070000,93614713
5080000,93808211
5090000,94002382
5100000,94195976
5110000,94389680
5120000,94583707
5130000,94777011
5140000,94970823
5150000,95164458
5160000,95358228
5170000,95552376
5180000,95745944
5190000,95939605
5200000,96133520
5210000,96326547
5220000,96520203
5230000,96732961
5240000,96928905
5250000,97128138
5260000,97324501
5270000,97525751
5280000,97721932
5290000,97917681
5300000,98118572
5310000,98314576
5320000,98510909
5330000,98706594
5340000,98902339
5350000,99097929
5360000,99293651
5370000,99489572
5380000,99685577
5390000,99881154
5400000,100077697
5410000,100274553
5420000,100471356
5430000,100668015
5440000,100864209
5450000,101060441
5460000,101256719
5470000,101452928
5480000,101649158
5490000,101845796
5500000,102042236
5510000,102240640
5520000,102436844
5530000,102636825
5540000,102833443
5550000,103035218
5560000,103231448
5570000,103429553
5580000,103622574
5590000,103815943
5600000,104009466
5610000,104202062
5620000,104395056
5630000,104587677
5640000,104780746
5650000,104973384
5660000,105165985
5670000,105359012
5680000,105551913
5690000,105744840
5700000,105938634
5710000,106131833
5720000,106324906
5730000,106518627
5740000,106712047
5750000,106904912
5760000,107097787
5770000,107290455
5780000,107483990
5790000,107679660
5800000,107873004
5810000,108071141
5820000,108264518
5830000,108463803
5840000,108657309
5850000,108850372
5860000,109049189
5870000,109242559
5880000,109436255
5890000,109629882
5900000,109823280
5910000,110016744
5920000,110210696
5930000,110404021
5940000,110597877
5950000,110791657
5960000,110985354
5970000,111179212
5980000,111372617
5990000,111566210
6000000,111759953
6010000,111953105
6020000,112146573
6030000,112340178
6040000,112533209
6050000,112726793
6060000,112920225
6070000,113115701
6080000,113309263
6090000,113506463
6100000,113700021
6110000,113899573
6120000,114092849
6130000,114286780
6140000,114485439
6150000,114678796
6160000,114873301
6170000,115066773
6180000,115260178
6190000,115454179
6200000,115647628
6210000,115841127
6220000,116034813
6230000,116228346
6240000,116422064
6250000,116631138
6260000,116831289
6270000,117024374
6280000,117217079
6290000,117409831
6300000,117602902
6310000,117795305
6320000,117988109
6330000,118181586
6340000,118373838
6350000,118569308
6360000,118762227
6370000,118958762
6380000,119151840
6390000,119344502
6400000,119543150
6410000,119736092
6420000,119933576
6430000,120126739
6440000,120319948
6450000,120512091
6460000,120705022
6470000,120897714
6480000,121090218
6490000,121283357
6500000,121475897
6510000,121668776
6520000,121861325
6530000,122053776
6540000,122247013
6550000,122439694
6560000,122632413
6570000,122825281
6580000,123017773
6590000,123210717
6600000,123403703
6610000,123596256
6620000,123789098
6630000,123981676
6640000,124176693
6650000,124369744
6660000,124566678
6670000,124759008
6680000,124957833
6690000,125150168
6700000,125342693
6710000,125540332
6720000,125746462
6730000,125942732
6740000,126138357
6750000,126333611
6760000,126528607
6770000,126723917
6780000,126919054
6790000,127117797
6800000,127312865
6810000,127508161
6820000,127703415
6830000,127898276
6840000,128093632
6850000,128288859
6860000,128483392
6870000,128678445
6880000,128873693
6890000,129069596
6900000,129264949
6910000,129460355
6920000,129658545
6930000,129854174
6940000,130054118
6950000,130249791
6960000,130451337
6970000,130646776
6980000,130841847
6990000,131041852
7000000,131236707
7010000,131432596
7020000,131627963
7030000,131822984
7040000,132018122
7050000,132213428
7060000,132408815
7070000,132604427
7080000,132799758
7090000,132995176
7100000,133190477
7110000,133386000
7120000,133581568
7130000,133777082
7140000,133972939
7150000,134168867
7160000,134364199
7170000,134559422
7180000,134754723
7190000,134950060
7200000,135148341
7210000,135342251
7220000,135541014
7230000,135734810
7240000,135928425
7250000,136129442
7260000,136322816
7270000,136521497
7280000,136715231
7290000,136908392
7300000,137102593
7310000,137296247
7320000,137489570
7330000,137685923
7340000,137880699
7350000,138074014
7360000,138268105
7370000,138461503
7380000,138655340
7390000,138849135
7400000,139046353
7410000,139242139
7420000,139435785
7430000,139630123
7440000,139823996
7450000,140017640
7460000,140211224
7470000,140405230
7480000,140599160
7490000,140795709
7500000,140989569
7510000,141188010
7520000,141380992
7530000,141580608
7540000,141773187
7550000,141966630
7560000,142164877
7570000,142358088
7580000,142552111
7590000,142744900
7600000,142937999
7610000,143131056
7620000,143329362
7630000,143524893
7640000,143721353
7650000,143919167
7660000,144117529
7670000,144315211
7680000,144512753
7690000,144709429
7700000,144906183
7710000,145102402
7720000,145298794
7730000,145495421
7740000,145692271
7750000,145888853
7760000,146085480
7770000,146284930
7780000,146482131
7790000,146683763
7800000,146880313
7810000,147077140
7820000,147282434
7830000,147480205
7840000,147682056
7850000,147882960
7860000,148079337
7870000,148276446
7880000,148472173
7890000,148665008
7900000,148857377
7910000,149051347
7920000,149247949
7930000,149460305
7940000,149656395
7950000,149848326
7960000,150029056
7970000,150222558
7980000,150417175
7990000,150610999
8000000,150805411
8010000,150999886
8020000,151194580
8030000,151388278
8040000,151580858
8050000,151774307
8060000,151972838
8070000,152168368
8080000,152366565
8090000,152552941
8100000,152737565
8110000,152862552
8120000,153054997
8130000,153246112
8140000,153443998
8150000,153637304
8160000,153830236
8170000,154022329
8180000,154215200
8190000,154407632
8200000,154601078
8210000,154793100
8220000,154984352
8230000,155176799
8240000,155370436
8250000,155563896
8260000,155756440
8270000,155948721
8280000,156141972
8290000,156334779
8300000,156526174
8310000,156719752
8320000,156913467
8330000,157105840
8340000,157300372
8350000,157512984
8360000,157708993
8370000,157910459
8380000,158104782
8390000,158301309
8400000,158504138
8410000,158700052
8420000,158900191
8430000,159095117
8440000,159290467
8450000,159486536
8460000,159680792
8470000,159876672
8480000,160071630
8490000,160265083
8500000,160458074
8510000,160651121
8520000,160846208
8530000,161038064
8540000,161231544
8550000,161424537
8560000,161617633
8570000,161810618
8580000,162004160
8590000,162198285
8600000,162392635
8610000,162586207
8620000,162781258
8630000,162976570
8640000,163171570
8650000,163365889
8660000,163559867
8670000,163753950
8680000,163948345
8690000,164141762
8700000,164335162
8710000,164529444
8720000,164723197
8730000,164917622
8740000,165110161
8750000,165302998
8760000,165496626
8770000,165693320
8780000,165899499
8790000,166093418
8800000,166286791
8810000,166480335
8820000,166675515
8830000,166871752
8840000,167068680
8850000,167265124
8860000,167461009
8870000,167658073
8880000,167854181
8890000,168051605
8900000,168246801
8910000,168440199
8920000,168634214
8930000,168828024
8940000,169021654
8950000,169216645
8960000,169411308
8970000,169606396
8980000,169800817
8990000,170003345
9000000,170197536
9010000,170390639
9020000,170589511
9030000,170781181
9040000,170978586
9050000,171171111
9060000,171362882
9070000,171503209
9080000,171617380
9090000,171732778
9100000,171847229
9110000,171974541
9120000,172088598
9130000,172202135
9140000,172315974
9150000,172444169
9160000,172558110
9170000,172672893
9180000,172788055
9190000,172916409
9200000,173031116
9210000,173145370
9220000,173260251
9230000,173381473
9240000,173553071
9250000,173725966
9260000,173909035
9270000,174101577
9280000,174294559
9290000,174489202
9300000,174683499
9310000,174890060
9320000,175083445
9330000,175277792
9340000,175440148
9350000,175587052
9360000,175770803
9370000,175936854
9380000,176119910
9390000,176317571
9400000,176516192
9410000,176713733
9420000,176911324
9430000,177109061
9440000,177306956
9450000,177504657
9460000,177702395
9470000,177874706
9480000,178035652
9490000,178232049
9500000,178427420
9510000,178623509
9520000,178819588
9530000,179015869
9540000,179212190
9550000,179408383
9560000,179604558
9570000,179800614
9580000,179934379
9590000,180132301
