step,elapsed_us
0,696
10000,67200
20000,108179
30000,149562
40000,190432
50000,234020
60000,281365
70000,328698
80000,376357
90000,422402
100000,467213
110000,511751
120000,557305
130000,602104
140000,651901
150000,704482
160000,754619
170000,804843
180000,857523
190000,909857
200000,982193
210000,1054683
220000,1127260
230000,1199896
240000,1282411
250000,1355195
260000,1425337
270000,1494448
280000,1573259
290000,1645503
300000,1716700
310000,1788139
320000,1859533
330000,1931316
340000,2002462
350000,2073658
360000,2144597
370000,2215585
380000,2304489
390000,2375948
400000,2446660
410000,2517239
420000,2588934
430000,2659349
440000,2730130
450000,2809596
460000,2881109
470000,2952295
480000,3023224
490000,3094690
500000,3142054
510000,3182590
520000,3225826
530000,3266525
540000,3311209
550000,3385112
560000,3455567
570000,3526297
580000,3597017
590000,3669232
600000,3740579
610000,3812201
620000,3883867
630000,3955307
640000,4026472
650000,4097718
660000,4168759
670000,4240013
680000,4310827
690000,4393372
700000,4464320
710000,4535034
720000,4605826
730000,4676767
740000,4747873
750000,4819130
760000,4890386
770000,4961529
780000,5033025
790000,5104410
800000,5176078
810000,5247568
820000,5319209
830000,5391107
840000,5463228
850000,5535138
860000,5606847
870000,5678893
880000,5750746
890000,5822224
900000,5894203
910000,5965689
920000,6037287
930000,6108450
940000,6179888
950000,6251417
960000,6322592
970000,6393889
980000,6465384
990000,6536912
1000000,6608387
1010000,6679847
1020000,6751609
1030000,6823004
1040000,6894574
1050000,6971611
1060000,7049918
1070000,7121792
1080000,7193615
1090000,7265092
1100000,7337017
1110000,7408820
1120000,7480655
1130000,7552119
1140000,7623935
1150000,7696343
1160000,7768168
1170000,7839771
1180000,7911802
1190000,7983412
1200000,8055012
1210000,8126726
1220000,8198578
1230000,8270471
1240000,8342108
1250000,8413634
1260000,8485183
1270000,8556831
1280000,8628445
1290000,8700029
1300000,8771929
1310000,8843832
1320000,8915594
1330000,8987514
1340000,9058952
1350000,9130778
1360000,9202614
1370000,9274324
1380000,9345794
1390000,9417355
1400000,9488644
1410000,9560015
1420000,9631233
1430000,9703465
1440000,9776938
1450000,9848765
1460000,9920554
1470000,9992374
1480000,10063922
1490000,10135570
1500000,10199777
1510000,10247081
1520000,10294548
1530000,10341875
1540000,10393122
1550000,10440406
1560000,10487852
1570000,10534967
1580000,10588046
1590000,10635134
1600000,10682518
1610000,10730262
1620000,10778668
1630000,10829109
1640000,10876296
1650000,10923403
1660000,10971962
1670000,11032208
1680000,11097224
1690000,11163237
1700000,11233381
1710000,11304515
