step,elapsed_us
0,5267
100,10518
200,15675
300,21036
400,26376
500,31711
600,36844
700,41991
800,47150
900,52532
1000,57896
1100,63531
1200,68751
1300,74016
1400,79147
1500,84305
1600,89654
1700,95024
1800,100193
1900,105614
2000,111019
2100,116293
2200,121704
2300,127130
2400,132255
2500,137622
2600,142979
2700,148119
2800,153478
2900,158813
3000,163944
3100,169309
3200,174674
3300,179817
3400,185019
3500,190405
3600,195768
3700,200905
3800,206072
3900,211479
4000,216661
4100,222099
4200,227924
4300,233294
4400,238675
4500,243819
4600,248972
4700,254367
4800,259721
4900,264879
5000,270057
5100,275508
5200,280822
5300,286115
5400,291323
5500,296748
5600,302158
5700,307584
5800,312899
5900,318334
6000,323550
6100,328783
6200,334242
6300,339702
6400,344883
6500,350317
6600,355509
6700,360937
6800,366380
6900,371821
7000,377022
7100,382230
7200,387426
7300,392846
7400,398201
7500,403198
7600,408594
7700,413762
7800,419163
7900,424342
8000,429763
8100,435197
8200,440630
8300,445799
8400,452150
8500,457111
8600,462272
8700,467659
8800,473025
8900,478368
9000,483488
9100,488856
9200,493986
9300,499349
9400,504730
9500,509860
9600,515193
9700,520291
9800,525607
9900,530959
10000,536341
10100,541670
10200,546771
10300,552070
10400,557145
10500,562210
10600,567531
10700,572802
10800,578040
10900,582911
11000,588006
11100,593260
11200,598496
11300,603524
11400,608769
11500,614019
11600,618915
11700,624110
11800,629383
11900,634476
12000,639815
12100,645143
12200,650466
12300,655574
12400,660718
12500,665861
12600,671214
12700,676378
12800,681765
12900,686937
13000,692148
13100,697660
13200,703043
13300,708177
13400,713321
13500,718688
13600,724025
13700,729148
13800,734485
13900,739614
14000,744994
14100,750158
14200,755540
14300,760716
14400,766100
14500,771463
14600,776825
14700,781747
14800,786729
14900,792107
15000,797283
15100,802473
15200,807865
15300,813245
15400,818433
15500,823822
15600,828982
15700,833934
15800,839353
15900,844577
16000,849790
16100,855004
16200,860439
16300,865631
16400,871067
16500,876453
16600,881633
16700,886781
16800,893487
16900,898659
17000,904225
17100,909617
17200,914813
