step,elapsed_us
0,5292
500,31438
1000,58433
1500,83816
2000,109942
2500,135462
3000,160938
3500,186426
4000,211782
4500,237697
5000,263117
5500,289050
6000,315051
6500,340874
7000,366760
7500,391931
8000,417595
8500,443719
9000,469144
9500,494415
10000,520073
10500,545123
11000,570626
11500,595961
12000,621116
12500,646323
13000,671714
13500,697659
14000,723357
14500,748804
15000,773705
15500,799245
16000,824236
16500,849979
17000,876777
17500,902506
18000,927789
18500,953406
19000,979031
19500,1004862
20000,1030500
20500,1056166
21000,1081835
21500,1107360
22000,1132937
22500,1158629
23000,1184220
23500,1209820
24000,1235487
24500,1261281
25000,1286961
25500,1312886
26000,1338495
26500,1364109
27000,1389516
27500,1415171
28000,1440393
28500,1465686
29000,1491186
29500,1516627
30000,1541995
30500,1567282
31000,1593011
31500,1618320
32000,1643812
32500,1669147
33000,1694887
33500,1720232
34000,1747192
34500,1772771
35000,1797985
35500,1823179
36000,1848486
36500,1873529
37000,1898758
37500,1924178
38000,1949424
38500,1974810
39000,2000695
39500,2027852
40000,2053572
40500,2078706
41000,2104171
41500,2129122
42000,2154200
42500,2179648
43000,2205038
43500,2230519
44000,2256184
44500,2281283
45000,2306521
45500,2331754
46000,2357281
46500,2382352
47000,2407695
47500,2433082
48000,2458563
48500,2483828
49000,2508952
49500,2534786
50000,2560349
50500,2586067
51000,2611610
51500,2637423
52000,2663153
52500,2688985
53000,2714731
53500,2740454
54000,2766139
54500,2791906
55000,2817296
55500,2842939
56000,2868629
56500,2894314
57000,2919513
57500,2946146
58000,2972479
58500,2998641
59000,3024111
59500,3049547
60000,3075049
60500,3100616
61000,3126195
61500,3151478
62000,3176877
62500,3202351
63000,3227614
63500,3253350
64000,3279539
64500,3304963
65000,3330673
65500,3356039
66000,3382127
66500,3407782
67000,3433216
67500,3458828
68000,3484290
68500,3509922
69000,3535612
69500,3561042
70000,3586912
70500,3612494
71000,3638506
71500,3664108
72000,3690095
72500,3715728
73000,3740972
73500,3766909
74000,3792422
74500,3817946
75000,3843389
75500,3869026
76000,3894281
76500,3920114
77000,3945334
77500,3970898
78000,3995879
78500,4022521
79000,4047699
79500,4072752
80000,4098048
80500,4123043
81000,4148277
81500,4173334
82000,4198415
82500,4224049
83000,4249688
83500,4275205
84000,4300808
84500,4326043
85000,4351726
85500,4377405
86000,4402779
86500,4428158
87000,4453971
87500,4478990
88000,4504457
88500,4529939
89000,4555195
89500,4580475
90000,4605972
90500,4631349
91000,4656665
91500,4681989
92000,4707711
92500,4732977
93000,4758261
93500,4783920
94000,4809345
94500,4834642
95000,4860083
95500,4885273
96000,4910650
96500,4936039
97000,4961239
97500,4987559
98000,5012991
98500,5038969
99000,5064449
99500,5089666
100000,5114829
100500,5140238
101000,5165157
101500,5190726
102000,5216118
102500,5241870
103000,5267407
103500,5292840
104000,5318381
104500,5344151
105000,5369536
105500,5395021
106000,5420157
106500,5445391
107000,5470830
107500,5496348
108000,5521700
108500,5547210
109000,5572733
109500,5600207
110000,5627149
110500,5652492
111000,5677779
111500,5703228
112000,5728810
112500,5754257
113000,5779899
113500,5805167
114000,5830498
114500,5855619
115000,5880310
115500,5905959
116000,5931464
116500,5957203
117000,5982777
117500,6009933
118000,6035126
118500,6060732
119000,6086102
119500,6111584
120000,6136808
120500,6161939
121000,6187084
121500,6212217
122000,6237267
122500,6262710
123000,6288070
123500,6314067
124000,6339727
124500,6365131
125000,6389861
125500,6415133
126000,6440728
126500,6466401
127000,6492068
127500,6517579
128000,6542886
128500,6568385
129000,6593445
129500,6618577
130000,6644072
130500,6669666
131000,6695290
131500,6721638
132000,6747167
132500,6772989
133000,6798453
133500,6823731
134000,6849380
134500,6875462
135000,6901149
135500,6926900
136000,6952732
136500,6978097
137000,7003851
137500,7029547
138000,7055158
138500,7080619
139000,7106308
139500,7131724
140000,7157100
140500,7182662
141000,7208341
141500,7234039
142000,7259812
142500,7285134
143000,7310743
143500,7336522
144000,7361998
144500,7387623
145000,7413327
145500,7439109
146000,7464885
146500,7490268
147000,7515905
147500,7541234
148000,7566852
148500,7592563
149000,7618215
149500,7643627
150000,7669202
150500,7694851
151000,7720538
151500,7746111
152000,7771708
152500,7797410
153000,7822480
153500,7848197
154000,7874064
154500,7899705
155000,7925293
155500,7950943
156000,7976437
156500,8002189
157000,8027952
157500,8062618
158000,8088295
158500,8113683
159000,8138933
159500,8164206
160000,8189693
160500,8215516
161000,8241001
161500,8266498
162000,8292774
162500,8318259
163000,8343453
163500,8368589
164000,8394107
164500,8419829
165000,8445660
165500,8470654
166000,8495990
166500,8521265
167000,8546385
167500,8571883
168000,8597499
168500,8622606
169000,8647931
169500,8673040
170000,8698193
170500,8723662
171000,8749364
171500,8775013
172000,8800431
172500,8825706
173000,8851158
173500,8876266
174000,8901272
174500,8926894
175000,8952459
175500,8977640
176000,9003148
176500,9028714
177000,9054115
177500,9079394
178000,9104864
178500,9130363
179000,9155690
179500,9181239
180000,9206295
180500,9231464
181000,9256850
181500,9282191
182000,9307743
182500,9333029
183000,9358500
183500,9383497
184000,9408566
184500,9433724
185000,9458585
185500,9483702
186000,9509234
186500,9535134
187000,9560524
187500,9585979
188000,9611101
188500,9636079
189000,9661571
189500,9687078
190000,9712651
190500,9738062
191000,9763761
191500,9789282
192000,9814178
192500,9839511
193000,9865222
193500,9890792
194000,9916705
194500,9942112
195000,9967171
195500,9992354
196000,10017758
196500,10043379
197000,10068620
197500,10093911
198000,10119392
198500,10144484
199000,10170120
199500,10195290
200000,10220294
200500,10245771
201000,10271099
201500,10296630
