step,elapsed_us
0,7098
500,11184
1000,15219
1500,19297
2000,23323
2500,27478
3000,31566
3500,35620
4000,39650
4500,43723
5000,47766
5500,51966
6000,56271
6500,60454
7000,63806
7500,66645
8000,69490
8500,72711
9000,75565
9500,78378
10000,81229
10500,84055
11000,86947
11500,89901
12000,92812
12500,95703
13000,98668
13500,101604
14000,104568
14500,107452
15000,110318
15500,113286
16000,116248
16500,119253
17000,122908
17500,125826
18000,128775
18500,131694
19000,134556
19500,137394
20000,140286
20500,143179
21000,146096
21500,149099
22000,152012
22500,154974
23000,157889
23500,160794
24000,163990
24500,166944
25000,169859
25500,172726
26000,175560
26500,178377
27000,181201
27500,184109
28000,186998
28500,189901
29000,192876
29500,195844
30000,198828
30500,201770
31000,204700
31500,207609
32000,210530
32500,213464
33000,216630
33500,219519
34000,223826
34500,226766
35000,229682
35500,232600
36000,235519
36500,238417
37000,241389
37500,244285
38000,247254
38500,250148
39000,253057
39500,255966
40000,258882
40500,261794
41000,264830
41500,267641
42000,270482
42500,273341
43000,276260
43500,279174
44000,282107
44500,285027
45000,288092
45500,291050
46000,293976
46500,296988
47000,299975
47500,302946
48000,305902
48500,308874
49000,311772
49500,314767
50000,317700
50500,320601
51000,323484
51500,326571
52000,329494
52500,332432
53000,335334
53500,338292
54000,341220
54500,344215
55000,347091
55500,349931
56000,352766
56500,355622
57000,358534
57500,361446
58000,364400
58500,367385
59000,370304
59500,373209
60000,376153
60500,379090
61000,382050
61500,384979
62000,387938
62500,390850
63000,393803
63500,396700
64000,399600
64500,402491
65000,405386
65500,408375
66000,411319
66500,414246
67000,417185
67500,420126
68000,423055
68500,425983
69000,429084
69500,432237
70000,435189
70500,438173
71000,441135
71500,444116
72000,447033
72500,449994
73000,452892
73500,455888
74000,459065
74500,462057
75000,464994
75500,467980
76000,470873
76500,473793
77000,476704
77500,479673
78000,482768
78500,485659
79000,488583
79500,491545
80000,494443
80500,497342
81000,500243
81500,503131
82000,506109
82500,509010
83000,511910
83500,514850
84000,517782
84500,520653
85000,523484
85500,526320
86000,529320
86500,532297
87000,535240
87500,538187
88000,541183
88500,544148
89000,547036
89500,549936
90000,554172
90500,557092
91000,560017
91500,562930
92000,565846
92500,568771
93000,571761
93500,574687
94000,577622
94500,580605
95000,583625
95500,586632
96000,589597
96500,592620
97000,595677
97500,598579
98000,601471
98500,604404
99000,607311
99500,610362
100000,613259
100500,616189
101000,619107
101500,622094
102000,625035
102500,628126
103000,631104
103500,634092
104000,637028
104500,640010
105000,642973
105500,645914
106000,648844
106500,651788
107000,654796
107500,657725
108000,660660
108500,663602
109000,666554
109500,669486
110000,672506
110500,675443
111000,678400
111500,681340
112000,684315
112500,687343
113000,690365
113500,693324
114000,696247
114500,699250
115000,702921
115500,705857
116000,708905
116500,711830
117000,714780
117500,717730
118000,720723
118500,723689
119000,726652
119500,729580
120000,732489
120500,735416
121000,738418
121500,741370
122000,744342
122500,747328
123000,750277
123500,753223
124000,756175
124500,759099
125000,762012
125500,764937
126000,767917
126500,770835
127000,773794
127500,776736
128000,779646
128500,782552
129000,785461
129500,788472
130000,791416
130500,794365
131000,797292
131500,801165
132000,804129
132500,807061
133000,809997
133500,812922
134000,815915
134500,818895
135000,821838
135500,824826
136000,827745
136500,830690
137000,833680
137500,836701
138000,839744
138500,842733
139000,845667
139500,848644
140000,851565
140500,854490
141000,857421
141500,860359
142000,863335
142500,866279
143000,869209
143500,872118
144000,875030
144500,877992
145000,880930
145500,883853
146000,886879
146500,889802
147000,892733
147500,895589
148000,898439
148500,901265
149000,904181
149500,907110
150000,909994
150500,912953
151000,915885
151500,918944
152000,921870
152500,924813
153000,927787
153500,930707
154000,933649
154500,936710
155000,939637
155500,942552
156000,945469
156500,948391
157000,951310
157500,954230
158000,957155
158500,960117
159000,963034
159500,965939
160000,968875
160500,971844
161000,974772
161500,977737
162000,980726
162500,983815
163000,986735
163500,989646
164000,992666
164500,995627
165000,998581
165500,1001464
166000,1004436
166500,1007335
167000,1010256
167500,1013183
168000,1016134
168500,1019039
169000,1021968
169500,1024886
170000,1027838
170500,1030813
171000,1033793
171500,1036709
172000,1039610
172500,1042559
173000,1045519
173500,1048761
174000,1051965
174500,1054952
175000,1057988
175500,1060943
176000,1063895
176500,1066778
177000,1069635
177500,1072485
178000,1075419
178500,1078342
179000,1081358
179500,1084408
180000,1087347
180500,1090219
181000,1093060
181500,1095903
182000,1098772
182500,1101698
183000,1104606
183500,1107524
184000,1110443
184500,1113298
185000,1116124
185500,1118940
186000,1121825
186500,1124721
187000,1127612
187500,1130533
188000,1133487
188500,1136323
189000,1139157
189500,1141999
190000,1144903
190500,1147804
191000,1150825
191500,1153796
192000,1156669
192500,1159503
193000,1162374
193500,1165313
194000,1168248
194500,1171139
195000,1174062
195500,1176965
196000,1179883
196500,1182804
197000,1185688
197500,1188681
198000,1191645
198500,1194552
199000,1197497
199500,1200397
200000,1203382
200500,1206243
201000,1209101
201500,1212033
