step,elapsed_us
0,7260
100,8107
200,8922
300,9741
400,10558
500,11382
600,12189
700,12998
800,13817
900,14647
1000,15478
1100,16327
1200,17144
1300,17970
1400,18811
1500,19622
1600,20430
1700,21241
1800,22040
1900,22851
2000,23667
2100,24629
2200,25456
2300,26281
2400,27082
2500,27897
2600,28715
2700,29542
2800,30394
2900,31217
3000,32025
3100,32846
3200,33668
3300,34501
3400,35312
3500,36141
3600,36960
3700,37773
3800,38582
3900,39402
4000,40210
4100,41033
4200,41853
4300,42678
4400,43501
4500,44311
4600,45112
4700,45930
4800,46752
4900,47570
5000,48391
5100,49226
5200,50070
5300,50945
5400,51813
5500,52671
5600,53637
5700,54501
5800,55348
5900,56211
6000,57052
6100,57890
6200,58748
6300,59420
6400,60022
6500,60629
6600,61235
6700,61839
6800,62443
6900,63052
7000,63650
7100,64243
7200,64818
7300,65399
7400,65979
7500,66548
7600,67135
7700,67709
7800,68316
7900,68894
8000,69478
8100,70056
8200,70649
8300,71234
8400,72191
8500,72762
8600,73338
8700,73922
8800,74502
8900,75099
9000,75680
9100,76266
9200,76841
9300,77420
9400,78018
9500,78591
9600,79171
9700,79745
9800,80321
9900,80898
10000,81474
10100,82051
10200,82625
10300,83199
10400,83775
10500,84347
10600,84922
10700,85511
10800,86109
10900,86698
11000,87290
11100,87892
11200,88535
11300,89124
11400,89720
11500,90319
11600,90901
11700,91496
11800,92092
11900,92680
12000,93272
12100,93865
12200,94458
12300,95041
12400,95629
12500,96219
12600,96820
12700,97409
12800,98007
12900,98615
13000,99200
13100,99797
13200,100393
13300,100983
13400,101570
13500,102170
13600,102771
13700,103359
13800,103951
13900,104539
14000,105135
14100,105721
14200,106321
14300,106910
14400,107497
14500,108102
14600,108702
14700,109285
14800,109858
14900,110451
15000,111037
15100,111623
15200,112227
15300,112823
15400,113410
15500,114009
15600,114592
15700,115166
15800,115765
15900,116356
16000,116941
16100,117532
16200,118129
16300,118720
16400,119407
16500,120007
16600,120603
16700,121197
16800,122525
16900,123125
17000,123731
17100,124340
17200,124936
17300,125528
17400,126124
17500,126726
17600,127328
17700,127930
17800,128515
17900,129101
18000,129699
18100,130298
18200,130887
18300,131471
18400,132073
18500,132673
18600,133267
18700,133854
18800,134434
18900,135006
19000,135595
19100,136182
19200,136774
19300,137366
19400,137939
19500,138517
19600,139095
19700,139686
19800,140265
19900,140842
20000,141421
20100,141999
20200,142579
20300,143146
20400,143723
20500,144322
20600,144920
20700,145521
20800,146113
20900,146717
21000,147356
21100,147954
21200,148553
21300,149143
21400,149738
21500,150580
21600,151224
21700,151816
21800,152409
21900,152995
22000,153585
22100,154180
22200,154781
22300,155379
22400,155960
22500,156591
22600,157180
22700,157772
22800,158371
22900,158962
23000,159555
23100,160149
23200,160737
23300,161331
23400,161914
23500,162519
23600,163124
23700,163719
23800,164317
23900,164910
24000,165505
24100,166096
24200,166686
24300,167288
24400,167878
24500,168468
24600,169055
24700,169655
24800,170248
24900,170847
25000,171439
25100,172029
25200,172619
25300,173207
25400,173786
25500,174362
25600,174935
25700,175520
25800,176098
25900,176670
26000,177248
26100,177811
26200,178386
26300,178963
26400,179547
26500,180120
26600,180694
26700,181267
26800,181840
26900,182414
27000,182991
27100,183638
27200,184228
27300,184822
27400,185420
27500,186013
27600,186598
27700,187185
27800,187773
27900,188367
28000,188969
28100,189557
28200,190148
28300,190746
28400,191350
28500,191937
28600,192530
28700,193134
28800,193732
28900,194330
29000,194924
29100,195513
29200,196113
29300,196710
29400,197319
29500,197923
29600,198530
29700,199141
29800,199746
29900,200357
30000,200960
30100,201559
30200,202159
30300,202755
30400,203355
30500,203960
30600,204555
30700,205146
30800,205741
30900,206336
31000,206934
31100,207524
31200,208113
31300,208708
31400,209294
31500,209893
31600,210486
31700,211069
31800,211667
31900,212271
32000,212868
32100,213465
32200,214058
32300,214645
32400,215230
32500,215822
32600,216412
32700,217005
32800,217772
32900,218364
33000,218960
33100,219544
33200,220132
33300,220735
33400,221328
33500,221917
33600,222504
33700,224517
33800,225110
33900,225703
34000,226297
34100,226893
34200,227487
34300,228073
34400,228671
34500,229277
34600,229873
34700,230461
34800,231047
34900,231645
35000,232246
35100,232840
35200,233443
35300,234043
35400,234630
35500,235234
35600,235832
35700,236427
35800,237029
35900,237622
36000,238230
36100,238825
36200,239423
36300,240013
36400,240611
36500,241221
36600,241831
36700,242427
36800,243018
36900,243618
37000,244218
37100,244810
37200,245403
37300,245987
37400,246573
37500,247174
37600,247770
37700,248366
37800,248957
37900,249557
38000,250155
38100,250754
38200,251344
38300,251943
38400,252542
38500,253139
38600,253735
38700,254336
38800,254924
38900,255521
39000,256123
39100,256730
39200,257322
39300,257916
39400,258515
39500,259112
39600,259715
39700,260318
39800,260907
39900,261505
40000,262104
40100,262699
40200,263303
40300,263890
40400,264489
40500,265090
40600,265679
40700,266288
40800,266883
40900,267466
41000,268042
41100,268612
41200,269193
41300,269759
41400,270338
41500,270915
41600,271498
41700,272070
41800,272652
41900,273232
42000,273807
42100,274389
42200,274964
42300,275545
42400,276127
42500,276723
42600,277322
42700,277923
42800,278524
42900,279123
43000,279725
43100,280322
43200,280924
43300,281524
43400,282120
43500,282714
43600,283314
43700,283914
43800,284507
43900,285104
44000,285702
44100,286293
44200,286879
44300,287484
44400,288081
44500,288691
44600,289300
44700,289893
44800,290494
44900,291162
45000,291767
45100,292389
45200,293003
45300,293607
45400,294215
45500,294802
45600,295389
45700,295980
45800,296574
45900,297168
46000,297764
46100,298363
46200,298960
46300,299573
46400,300180
46500,300782
46600,301391
46700,301999
46800,302615
46900,303237
47000,303866
47100,304474
47200,305083
47300,305700
47400,306316
47500,306930
47600,307538
47700,308156
47800,308770
47900,309383
48000,309985
48100,310603
48200,311233
48300,311863
48400,312460
48500,313053
48600,313653
48700,314254
48800,314847
48900,315431
49000,316021
49100,316620
49200,317220
49300,317819
49400,318411
49500,319010
49600,319611
49700,320194
49800,320786
49900,321382
50000,321978
50100,322574
50200,323168
50300,323755
50400,324352
50500,324942
50600,325530
50700,326120
50800,326713
50900,327307
51000,327902
51100,328498
51200,329091
51300,329683
51400,330293
51500,330893
51600,331488
51700,332082
51800,332676
51900,333277
52000,333879
52100,334482
52200,335071
52300,335680
52400,336288
52500,336884
52600,337477
52700,338071
52800,338662
52900,339254
53000,339859
53100,340455
53200,341051
53300,341647
53400,342241
53500,342843
53600,343443
53700,344039
53800,344643
53900,345250
54000,345835
54100,346431
54200,347034
54300,347629
54400,348232
54500,348836
54600,349431
54700,350027
54800,350614
54900,351191
55000,351766
55100,352339
55200,352918
55300,353498
55400,354073
55500,354657
55600,355233
55700,355810
55800,356381
55900,356960
56000,357544
56100,358115
56200,358697
56300,359284
56400,359866
56500,360453
56600,361048
56700,361643
56800,362246
56900,362839
57000,363438
57100,364036
57200,364630
57300,365228
57400,365824
57500,366426
57600,367022
57700,367618
57800,368222
57900,368812
58000,369403
58100,370005
58200,370606
58300,371207
58400,371801
58500,372404
58600,372994
58700,373586
58800,374186
58900,374786
59000,375384
59100,375981
59200,376573
59300,377169
59400,377756
59500,378348
59600,378942
59700,379546
59800,380145
59900,380756
60000,381371
60100,381967
60200,382569
60300,383170
60400,383774
60500,384384
60600,384990
60700,385600
60800,386215
60900,386830
61000,387421
61100,388021
61200,388616
61300,389215
61400,389808
61500,390403
61600,390994
61700,391592
61800,392182
61900,392777
62000,393367
62100,393956
62200,394561
62300,395162
62400,395766
62500,396357
62600,396950
62700,397551
62800,398146
62900,398739
63000,399325
63100,399920
63200,400515
63300,401108
63400,401698
63500,402303
63600,402893
63700,403553
63800,404156
63900,404748
64000,405343
64100,405945
64200,406544
64300,407140
64400,407730
64500,408318
64600,408907
64700,409553
64800,410185
64900,410795
65000,411392
65100,411981
65200,412573
65300,413163
65400,413754
65500,414352
65600,414956
65700,415553
65800,416148
65900,416749
66000,417361
66100,417971
66200,418573
66300,419181
66400,419774
66500,420373
66600,420961
66700,421557
66800,422158
66900,422756
67000,423353
67100,423952
67200,424592
67300,425190
67400,425784
67500,426382
67600,426983
67700,427585
67800,428188
67900,428789
68000,429392
68100,429998
68200,430611
68300,431226
68400,431822
68500,432413
68600,433011
68700,433607
68800,434205
68900,434805
69000,435407
69100,436001
69200,436608
69300,437236
69400,437837
69500,438438
69600,439040
69700,439636
69800,440244
69900,440850
70000,441455
70100,442066
70200,442665
70300,443294
70400,443925
70500,444528
70600,445129
70700,445736
70800,446344
70900,446953
71000,447557
71100,448156
71200,448756
71300,449361
71400,449964
71500,450569
71600,451160
71700,451763
71800,452364
71900,452970
72000,453573
72100,454176
72200,454772
72300,455366
72400,455966
72500,456564
72600,457166
72700,457754
72800,458344
72900,458948
73000,459537
73100,460144
73200,460751
73300,461361
73400,461958
73500,462559
73600,463158
73700,463751
73800,464353
73900,464964
74000,465573
74100,466176
74200,466804
74300,467436
74400,468048
74500,468690
74600,469332
74700,469960
74800,470554
74900,471154
75000,471762
75100,472357
75200,472958
75300,473558
75400,474161
75500,474771
75600,475360
75700,475951
75800,476546
75900,477137
76000,477732
76100,478327
76200,478922
76300,479523
76400,480123
76500,480726
76600,481321
76700,481928
76800,482525
76900,483119
77000,483715
77100,484337
77200,484939
77300,485542
77400,486145
77500,486753
77600,487354
77700,487963
77800,488559
77900,489149
78000,489740
78100,490346
78200,490929
78300,491527
78400,492115
78500,492704
78600,493302
78700,493903
78800,494500
78900,495090
79000,495689
79100,496282
79200,496879
79300,497477
79400,498066
79500,498664
79600,499272
79700,499865
79800,500461
79900,501050
80000,501650
80100,502245
80200,502837
80300,503441
80400,504034
80500,504624
80600,505224
80700,505823
80800,506422
80900,507009
81000,507601
81100,508191
81200,508788
81300,509379
81400,509975
81500,510570
81600,511162
81700,511760
81800,512348
81900,512936
82000,513528
82100,514121
82200,514724
82300,515327
82400,515916
82500,516508
82600,517099
82700,517697
82800,518297
82900,518889
83000,519476
83100,520073
83200,520677
83300,521281
83400,521871
83500,522471
83600,523072
83700,523683
83800,524294
83900,524879
84000,525476
84100,526046
84200,526631
84300,527208
84400,527784
84500,528364
84600,528940
84700,529522
84800,530093
84900,530672
85000,531251
85100,531825
85200,532409
85300,532987
85400,533558
85500,534138
85600,534720
85700,535311
85800,535905
85900,536511
86000,537120
86100,537773
86200,538466
86300,539157
86400,539813
86500,540418
86600,541018
86700,541621
86800,542226
86900,542826
87000,543423
87100,544023
87200,544628
87300,545234
87400,545854
87500,546444
87600,547044
87700,547642
87800,548246
87900,548848
88000,549452
88100,550062
88200,550659
88300,551261
88400,551853
88500,552443
88600,553030
88700,553617
88800,554217
88900,554891
89000,555487
89100,556079
89200,556675
89300,557278
89400,557869
89500,558466
89600,559049
89700,560975
89800,561582
89900,562178
90000,562775
90100,563371
90200,563975
90300,564573
90400,565180
90500,565781
90600,566374
90700,566974
90800,567568
90900,568169
91000,568772
91100,569371
91200,569972
91300,570567
91400,571169
91500,571761
91600,572356
91700,572957
91800,573558
91900,574163
92000,574760
92100,575365
92200,575963
92300,576560
92400,577160
92500,577774
92600,578390
92700,578991
92800,579596
92900,580198
93000,580804
93100,581400
93200,582000
93300,582596
93400,583192
93500,583806
93600,584408
93700,585011
93800,585610
93900,586218
94000,586821
94100,587425
94200,588035
94300,588657
94400,589294
94500,589918
94600,590532
94700,591146
94800,591758
94900,592544
95000,593178
95100,593816
95200,594419
95300,595029
95400,595653
95500,596283
95600,596883
95700,597490
95800,598100
95900,598701
96000,599298
96100,599905
96200,600519
96300,601137
96400,601755
96500,602387
96600,602992
96700,603601
96800,604211
96900,604802
97000,605400
97100,606003
97200,606596
97300,607188
97400,607781
97500,608388
97600,608977
97700,609572
97800,610168
97900,610773
98000,611370
98100,611973
98200,612571
98300,613164
98400,613765
98500,614366
98600,614960
98700,615556
98800,616151
98900,616749
99000,617346
99100,617943
99200,618537
99300,619133
99400,619723
99500,620325
99600,620925
99700,621522
99800,622117
99900,622711
100000,623311
100100,623911
100200,624511
100300,625114
100400,625710
100500,626307
100600,626903
100700,627508
100800,628089
100900,628705
101000,629311
101100,629910
101200,630511
101300,631109
101400,631706
101500,632314
101600,632920
101700,633525
101800,634109
101900,634710
102000,635316
102100,635928
102200,636533
102300,637130
102400,637740
102500,638352
102600,638951
102700,639551
102800,640150
102900,640743
103000,641362
103100,641978
103200,642568
103300,643173
103400,643777
103500,644385
103600,644989
103700,645586
103800,646195
103900,646806
104000,647409
104100,648011
104200,648623
104300,649221
104400,649820
104500,650422
104600,651016
104700,651612
