step,elapsed_us
0,6674
500,31406
1000,55789
1500,80242
2000,104618
2500,129409
3000,153872
3500,178056
4000,202412
4500,227846
5000,251810
5500,276236
6000,300462
6500,324638
7000,349343
7500,373097
8000,396967
8500,420814
9000,445540
9500,469727
10000,494088
10500,518382
11000,542552
11500,566680
12000,590887
12500,615817
13000,640185
13500,664219
14000,688185
14500,712183
15000,735904
15500,760506
16000,784357
16500,808410
17000,832944
17500,857301
18000,883592
18500,908192
19000,932717
19500,957474
20000,981786
20500,1006238
21000,1030229
21500,1054524
22000,1078470
22500,1103609
23000,1127679
23500,1151900
24000,1175532
24500,1199374
25000,1223176
25500,1247410
26000,1271200
26500,1295376
27000,1319514
27500,1343784
28000,1368266
28500,1392557
29000,1416814
29500,1441418
30000,1466102
30500,1492337
31000,1516260
31500,1540455
32000,1564382
32500,1588734
33000,1613370
33500,1637722
34000,1662089
34500,1686498
35000,1710847
35500,1735170
36000,1759375
36500,1785065
37000,1809211
37500,1833680
38000,1857949
38500,1882381
39000,1906821
39500,1931686
40000,1956478
40500,1980896
41000,2005004
41500,2029914
42000,2054358
42500,2078408
43000,2102908
43500,2127888
44000,2152296
44500,2176898
45000,2201826
45500,2225969
46000,2250520
46500,2274981
47000,2299133
47500,2323267
48000,2347142
48500,2371463
49000,2395737
49500,2420180
50000,2444981
50500,2469344
51000,2493807
51500,2518100
52000,2542583
52500,2566796
53000,2590725
53500,2614657
54000,2638871
54500,2662901
55000,2687359
55500,2710960
56000,2735593
56500,2760006
57000,2784500
57500,2808949
58000,2833044
58500,2857185
59000,2881302
59500,2906122
60000,2929915
60500,2954186
61000,2978368
61500,3003252
62000,3028000
62500,3052156
63000,3076236
63500,3100170
64000,3124071
64500,3148813
65000,3173587
65500,3198350
66000,3222644
66500,3247331
67000,3271621
67500,3295587
68000,3320136
68500,3344984
69000,3369331
69500,3394558
70000,3418783
70500,3442724
71000,3468940
71500,3492984
72000,3518139
72500,3542383
73000,3566540
73500,3591229
74000,3615921
74500,3639812
75000,3664605
75500,3689388
76000,3713090
76500,3737610
77000,3762015
77500,3786054
78000,3810771
78500,3834821
79000,3858297
79500,3882651
80000,3906726
80500,3931265
81000,3955925
81500,3980338
82000,4004746
82500,4028935
83000,4053425
83500,4077640
84000,4102428
84500,4126937
85000,4151419
85500,4176359
86000,4200858
86500,4225247
87000,4249761
87500,4274017
88000,4298138
88500,4322394
89000,4346353
89500,4370945
90000,4395446
90500,4419942
91000,4444504
91500,4469025
92000,4493685
92500,4518249
93000,4542593
93500,4567736
94000,4592234
94500,4616648
95000,4641322
95500,4665498
96000,4689971
96500,4714279
97000,4738719
97500,4763606
98000,4787518
98500,4811616
99000,4836362
99500,4860657
100000,4884951
100500,4909167
101000,4933430
101500,4957743
102000,4983144
102500,5007443
103000,5032206
103500,5056688
104000,5081240
104500,5105520
105000,5129846
105500,5154249
106000,5178782
106500,5203263
107000,5227046
107500,5250752
108000,5274648
108500,5298970
109000,5323257
109500,5347430
110000,5371213
110500,5395944
111000,5420369
111500,5444155
112000,5470106
112500,5494878
113000,5519505
113500,5543647
114000,5568454
114500,5592495
115000,5615849
115500,5639618
116000,5663474
116500,5688198
117000,5712500
117500,5736632
118000,5760672
118500,5784883
119000,5808643
119500,5833291
120000,5856972
120500,5880982
121000,5905956
121500,5929696
122000,5954035
122500,5978055
123000,6002143
123500,6026231
124000,6050310
124500,6073874
125000,6097676
125500,6121523
126000,6146008
126500,6170182
127000,6194884
127500,6219091
128000,6242624
128500,6266485
129000,6290362
129500,6314818
130000,6339519
130500,6363651
131000,6387936
131500,6412625
132000,6437048
132500,6461227
133000,6485787
133500,6510265
134000,6534855
134500,6559267
135000,6583817
135500,6608241
136000,6632023
136500,6656431
137000,6680980
137500,6705211
138000,6729674
138500,6753961
139000,6777767
139500,6802374
140000,6826861
140500,6851367
141000,6875678
141500,6899971
142000,6923954
142500,6948341
143000,6972770
143500,6997367
144000,7021636
144500,7046152
145000,7070727
145500,7095092
146000,7120187
146500,7144638
147000,7168979
147500,7193317
148000,7217795
148500,7242527
149000,7266706
149500,7290999
150000,7315517
150500,7339852
151000,7364287
151500,7388431
152000,7413000
152500,7438941
153000,7463646
153500,7488143
154000,7511524
154500,7535947
155000,7560433
155500,7585261
156000,7609719
156500,7633571
157000,7657883
157500,7682243
158000,7706764
158500,7731102
159000,7755730
159500,7779804
160000,7803865
160500,7827610
161000,7852018
161500,7876082
162000,7899991
162500,7924172
163000,7948454
163500,7972033
164000,7996383
164500,8020736
165000,8045581
165500,8069949
166000,8094489
166500,8118760
167000,8143001
167500,8167616
168000,8191967
168500,8216455
169000,8240631
169500,8264544
170000,8288213
170500,8312399
171000,8335877
171500,8360443
172000,8384597
172500,8409405
173000,8434087
173500,8458092
174000,8481743
174500,8505841
175000,8529373
175500,8553101
176000,8577313
176500,8601488
177000,8625887
177500,8650155
178000,8674454
178500,8698475
179000,8722084
179500,8746182
180000,8770831
180500,8794701
181000,8818666
181500,8842994
182000,8866868
182500,8891359
183000,8915458
183500,8939740
184000,8964226
184500,8987724
185000,9011795
185500,9036686
186000,9060817
186500,9085393
187000,9109336
187500,9133520
188000,9158020
188500,9181784
189000,9206122
189500,9230256
190000,9254705
190500,9279351
191000,9303280
191500,9327879
192000,9351362
192500,9375174
193000,9399744
193500,9424535
194000,9449299
194500,9473368
195000,9499414
195500,9523515
196000,9547836
196500,9572450
197000,9597384
197500,9621675
198000,9646227
198500,9670731
199000,9694910
199500,9718870
200000,9743015
200500,9767761
201000,9791980
201500,9816202
