step,elapsed_us
0,6100
100,10555
200,14928
300,19221
400,23634
500,27613
600,31942
700,36024
800,40301
900,44593
1000,48857
1100,52908
1200,57306
1300,61496
1400,65726
1500,69912
1600,74127
1700,78389
1800,82533
1900,86840
2000,91149
2100,95516
2200,99758
2300,104128
2400,108413
2500,112681
2600,116761
2700,120865
2800,125187
2900,129501
3000,133807
3100,137869
3200,141997
3300,146228
3400,150587
3500,154847
3600,159071
3700,163108
3800,167456
3900,171742
4000,175777
4100,180240
4200,184545
4300,188771
4400,193041
4500,197778
4600,202044
4700,206295
4800,210265
4900,214543
5000,218483
5100,222617
5200,226736
5300,231062
5400,235152
5500,239610
5600,243844
5700,247842
5800,252242
5900,256522
6000,260569
6100,264877
6200,269175
6300,273253
6400,277623
6500,281391
6600,285602
6700,289827
6800,294390
6900,298625
7000,302733
7100,306911
7200,310947
7300,315110
7400,318948
7500,323192
7600,327201
7700,331227
7800,335416
7900,339600
8000,343754
8100,348053
8200,352054
8300,356202
8400,360176
8500,364231
8600,368266
8700,372529
8800,376591
8900,380800
9000,385638
9100,389694
9200,393799
9300,397988
9400,402159
9500,406343
9600,410295
9700,414517
9800,418820
9900,422941
10000,427256
10100,431567
10200,435870
10300,439817
10400,444053
10500,448201
10600,452302
10700,456422
10800,460564
10900,464842
11000,468977
11100,473238
11200,477481
11300,481454
11400,485744
11500,489734
11600,493831
11700,498121
11800,502433
11900,506523
12000,510625
12100,514937
12200,519338
12300,523646
12400,527942
12500,532160
12600,536355
12700,540509
12800,544745
12900,548980
13000,553295
13100,557210
13200,561420
13300,565625
13400,569883
13500,574104
13600,578147
13700,582492
13800,586543
13900,590753
14000,594974
14100,599154
14200,603320
14300,607362
14400,611714
14500,615985
14600,620101
14700,624511
14800,628546
14900,632792
15000,636712
15100,640980
15200,645095
15300,649322
15400,653707
15500,657932
15600,661940
15700,666213
15800,670301
15900,674241
16000,678550
16100,682556
16200,686786
16300,691003
16400,695074
16500,699194
16600,703357
16700,707673
16800,711798
16900,716124
17000,720265
17100,724451
17200,728674
17300,732938
17400,737039
17500,741164
17600,745555
17700,749981
17800,754291
17900,758519
18000,764384
18100,768445
18200,772755
18300,776947
18400,781252
18500,785453
18600,789591
18700,793813
18800,798043
18900,802256
19000,806502
19100,810824
19200,814986
19300,819210
19400,823491
19500,827668
19600,831651
19700,835934
19800,840203
19900,844271
20000,848610
20100,852893
20200,857267
20300,861373
20400,865560
20500,869721
20600,873968
20700,878027
20800,882179
20900,886393
21000,890496
21100,894868
21200,898938
21300,903144
21400,907196
21500,911420
21600,915454
21700,919579
21800,923871
21900,927973
22000,932082
22100,936337
22200,940588
22300,944914
22400,949220
22500,953622
22600,957706
22700,961932
22800,966284
22900,970481
23000,974559
23100,978786
23200,983157
23300,987389
23400,991459
23500,995369
23600,999566
23700,1003761
23800,1007964
23900,1011863
24000,1015803
24100,1020009
24200,1024370
24300,1028788
24400,1032845
24500,1036892
24600,1041169
24700,1045279
24800,1049209
24900,1053335
25000,1057458
25100,1061600
25200,1065730
25300,1070060
25400,1074283
25500,1078501
25600,1082635
25700,1086664
25800,1090936
25900,1094990
26000,1099049
26100,1103223
26200,1107432
26300,1111590
26400,1115677
26500,1119892
26600,1123874
26700,1128109
26800,1132259
26900,1136493
27000,1140656
27100,1144668
27200,1148737
27300,1152978
27400,1157241
27500,1161390
27600,1165523
27700,1169739
27800,1173965
27900,1178102
28000,1182339
28100,1186547
28200,1190782
28300,1194768
28400,1199103
28500,1203242
28600,1207526
28700,1211657
28800,1215799
28900,1219732
29000,1224072
29100,1228173
29200,1232488
29300,1236686
29400,1241137
29500,1245354
29600,1249568
29700,1253789
29800,1258070
29900,1262394
30000,1266593
30100,1270671
30200,1274915
30300,1278889
30400,1283120
30500,1287607
30600,1291499
30700,1295770
30800,1299903
30900,1304099
31000,1308122
31100,1312369
31200,1316368
31300,1320430
31400,1324654
31500,1328983
31600,1333095
31700,1337138
31800,1341301
31900,1345537
32000,1349605
32100,1353689
32200,1357923
32300,1362230
32400,1366441
32500,1370636
32600,1375181
32700,1379133
32800,1383404
32900,1387677
33000,1391978
33100,1396006
33200,1400351
33300,1404519
33400,1408767
33500,1413075
33600,1417409
33700,1421467
33800,1425899
33900,1431143
34000,1435597
34100,1439997
34200,1444533
34300,1448970
34400,1453226
34500,1457244
34600,1461260
34700,1465738
34800,1469755
34900,1474076
35000,1478242
35100,1482549
35200,1486737
35300,1491091
35400,1495133
35500,1499187
35600,1503254
35700,1507394
35800,1511585
35900,1515835
36000,1520024
36100,1525581
36200,1529876
36300,1533938
36400,1538161
36500,1542352
36600,1546530
36700,1550605
36800,1554839
36900,1558808
37000,1563048
37100,1567270
37200,1571499
37300,1575723
37400,1579728
37500,1584237
37600,1588286
37700,1592474
37800,1596675
37900,1600814
38000,1605162
38100,1609134
38200,1613463
38300,1617719
38400,1621867
38500,1626186
38600,1629972
38700,1634252
38800,1638638
38900,1643027
39000,1647137
39100,1651487
39200,1655857
39300,1660241
39400,1664612
39500,1668755
39600,1673200
39700,1677173
39800,1681542
39900,1686006
40000,1690556
40100,1694900
40200,1699176
40300,1703515
40400,1707576
40500,1711894
40600,1716091
40700,1720170
40800,1724152
40900,1728311
41000,1732596
41100,1736860
41200,1741311
41300,1745199
41400,1749792
41500,1754123
41600,1758249
41700,1762527
41800,1766644
41900,1770918
42000,1775386
42100,1779346
42200,1783625
42300,1788047
42400,1792033
42500,1796322
42600,1800628
42700,1805250
42800,1809372
42900,1813649
43000,1817788
43100,1822183
43200,1826622
43300,1830896
43400,1835320
43500,1839582
43600,1843640
43700,1847773
43800,1852133
43900,1856256
44000,1860667
44100,1865015
44200,1869241
44300,1873669
44400,1877814
44500,1882103
44600,1886381
44700,1890629
44800,1894966
44900,1899214
45000,1903510
45100,1907762
45200,1912000
45300,1916054
45400,1920206
45500,1924381
45600,1928663
45700,1932968
45800,1936994
45900,1941592
46000,1945644
46100,1949953
46200,1954254
46300,1958445
46400,1962772
46500,1966844
46600,1970869
46700,1975016
46800,1979315
46900,1983560
47000,1988069
47100,1992535
47200,1996433
47300,2000670
47400,2004891
47500,2008993
47600,2013392
47700,2017352
47800,2021539
47900,2025591
48000,2029711
48100,2033836
48200,2038115
48300,2042292
48400,2046571
48500,2050896
48600,2054979
48700,2059306
48800,2063392
48900,2067593
49000,2071817
49100,2076130
49200,2080323
49300,2084511
49400,2088596
49500,2092785
49600,2097003
49700,2101381
49800,2105601
49900,2110041
50000,2114173
50100,2118228
50200,2122498
50300,2126595
50400,2131016
50500,2135240
50600,2139315
50700,2143493
50800,2147779
50900,2152099
51000,2156221
51100,2160358
51200,2164866
51300,2168877
51400,2173211
51500,2177163
51600,2181497
51700,2185712
51800,2189942
51900,2194204
52000,2198363
52100,2202529
52200,2206689
52300,2210922
52400,2215165
52500,2219402
52600,2223455
52700,2227526
52800,2231614
52900,2235921
53000,2240113
53100,2244237
53200,2248495
53300,2252542
53400,2256753
53500,2260878
53600,2264950
53700,2269336
53800,2273544
53900,2277686
54000,2281941
54100,2286184
54200,2290294
54300,2294519
54400,2298693
54500,2302876
54600,2307067
54700,2311318
54800,2315629
54900,2319702
55000,2323940
55100,2328023
55200,2332106
55300,2336184
55400,2340361
55500,2344380
55600,2348772
55700,2353027
55800,2357273
55900,2361343
56000,2365408
56100,2369725
56200,2374002
56300,2377993
56400,2382046
56500,2386239
56600,2390647
56700,2394716
56800,2398810
56900,2402797
57000,2407163
57100,2411515
57200,2415485
57300,2419790
57400,2424191
57500,2428102
57600,2432030
57700,2436577
57800,2440574
57900,2444481
58000,2448988
58100,2453231
58200,2457422
58300,2461543
58400,2465913
58500,2469814
58600,2473825
58700,2477967
58800,2482196
58900,2486410
59000,2490618
59100,2494833
59200,2499085
59300,2503248
59400,2507501
59500,2512001
59600,2515949
59700,2520173
59800,2524270
59900,2528427
60000,2532368
60100,2536686
60200,2540628
60300,2545051
60400,2548956
60500,2553194
60600,2557747
60700,2561789
60800,2565948
60900,2570105
61000,2574004
61100,2578171
61200,2582393
61300,2586802
61400,2590945
61500,2595176
61600,2599321
61700,2603529
61800,2607572
61900,2611771
62000,2616284
62100,2620325
62200,2624525
62300,2628705
62400,2632892
62500,2636986
62600,2640942
62700,2645162
62800,2649367
62900,2653256
63000,2657717
63100,2661784
63200,2665856
63300,2670313
63400,2674340
63500,2678618
63600,2682545
63700,2686728
63800,2690761
63900,2695073
64000,2699304
64100,2703375
64200,2707654
64300,2712296
64400,2716453
64500,2720693
64600,2725012
64700,2729144
64800,2733325
64900,2737672
