step,elapsed_us
0,8252
500,11928
1000,15531
1500,19183
2000,22843
2500,26660
3000,30361
3500,34020
4000,37643
4500,41364
5000,45022
5500,48713
6000,52394
6500,56018
7000,58972
7500,61551
8000,64134
8500,66752
9000,69789
9500,72391
10000,74984
10500,77690
11000,80376
11500,82970
12000,85539
12500,88132
13000,90743
13500,93354
14000,95973
14500,98560
15000,101158
15500,103750
16000,106356
16500,108974
17000,111571
17500,114330
18000,116928
18500,120225
19000,122829
19500,125419
20000,128014
20500,130600
21000,133191
21500,135746
22000,138345
22500,140946
23000,143536
23500,146120
24000,148705
24500,151292
25000,153891
25500,156505
26000,159111
26500,161890
27000,164779
27500,167407
28000,170008
28500,172696
29000,175400
29500,178005
30000,180611
30500,183211
31000,185815
31500,188411
32000,191018
32500,193618
33000,196234
33500,198832
34000,201440
34500,204070
35000,206997
35500,209617
36000,212200
36500,216298
37000,218906
37500,221498
38000,224103
38500,226675
39000,229255
39500,231859
40000,234469
40500,237068
41000,239656
41500,242249
42000,244849
42500,247445
43000,250055
43500,252665
44000,255249
44500,257845
45000,260451
45500,263052
46000,265671
46500,268284
47000,270908
47500,273509
48000,276113
48500,278716
49000,281326
49500,283912
50000,286510
50500,289126
51000,291741
51500,294360
52000,296968
52500,299575
53000,302181
53500,304783
54000,307381
54500,309985
55000,312579
55500,315186
56000,317816
56500,320416
57000,323013
57500,325630
58000,328254
58500,330864
59000,333463
59500,336099
60000,338732
60500,341332
61000,343942
61500,346627
62000,349220
62500,351828
63000,354436
63500,357043
64000,359661
64500,362268
65000,364872
65500,367479
66000,370119
66500,372722
67000,375314
67500,377911
68000,380513
68500,383105
69000,385696
69500,388293
70000,390895
70500,393499
71000,396095
71500,398693
72000,401281
72500,403945
73000,406547
73500,409161
74000,411760
74500,414352
75000,416943
75500,419547
76000,422169
76500,424775
77000,427359
77500,429945
78000,432522
78500,435138
79000,437762
79500,440371
80000,442976
80500,445578
81000,448200
81500,450814
82000,453419
82500,456035
83000,458624
83500,461221
84000,463831
84500,466431
85000,469042
85500,471640
86000,474227
86500,476845
87000,479441
87500,482093
88000,484685
88500,487277
89000,489879
89500,492482
90000,495095
90500,497700
91000,500296
91500,502895
92000,505507
92500,508117
93000,510734
93500,513336
94000,515935
94500,518540
95000,521138
95500,523743
96000,526345
96500,528963
97000,531581
97500,534185
98000,536786
98500,539389
99000,541998
99500,544589
100000,547184
100500,549786
101000,552407
101500,555033
102000,557642
102500,560239
103000,562839
103500,565454
104000,568051
104500,570661
105000,573248
105500,575843
106000,578429
106500,581022
107000,583619
107500,586244
108000,588864
108500,591478
109000,594088
109500,596687
110000,599278
110500,601888
111000,604532
111500,607147
112000,609746
112500,612355
113000,614957
113500,617571
114000,620190
114500,622801
115000,625396
115500,628011
116000,630585
116500,633148
117000,635763
117500,638357
118000,640967
118500,643555
119000,646159
119500,648745
120000,651314
120500,653965
121000,656566
121500,659154
122000,661739
122500,664319
123000,666896
123500,669474
124000,672059
124500,674642
125000,677229
125500,679807
126000,682398
126500,684994
127000,687571
127500,690156
128000,692746
128500,695315
129000,697907
129500,700477
130000,703074
130500,705649
131000,708220
131500,711453
132000,714071
132500,716670
133000,719264
133500,721862
134000,724464
134500,727064
135000,729682
135500,732306
136000,734894
136500,737503
137000,740113
137500,742710
138000,745347
138500,747941
139000,751928
139500,754534
140000,757125
140500,759727
141000,762316
141500,764918
142000,767516
142500,770113
143000,772725
143500,775332
144000,778006
144500,780635
145000,783237
145500,785857
146000,788471
146500,791071
147000,793690
147500,796294
148000,798915
148500,801544
149000,804170
149500,806792
150000,809420
150500,812034
151000,814628
151500,817229
152000,819849
152500,822452
153000,825062
153500,827669
154000,830273
154500,832893
155000,835500
155500,838129
156000,840740
156500,843347
157000,845946
157500,848494
158000,851126
158500,853750
159000,856370
159500,858975
160000,861587
160500,864202
161000,866814
161500,869422
162000,872047
162500,874660
163000,877268
163500,879877
164000,882493
164500,885108
165000,887714
165500,890372
166000,892979
166500,895587
167000,898184
167500,900789
168000,903386
168500,905984
169000,908580
169500,911190
170000,913795
170500,916403
171000,918994
171500,921577
172000,924167
172500,926782
173000,929399
173500,932020
174000,934624
174500,937230
175000,939843
175500,942448
176000,945051
176500,947656
177000,950258
177500,952868
178000,955487
178500,958102
179000,960707
179500,963322
180000,965926
180500,968526
181000,971126
181500,973739
182000,976369
182500,979050
183000,981655
183500,984262
184000,986842
184500,989430
185000,992039
185500,994640
186000,997246
186500,999863
187000,1002471
187500,1005095
188000,1007700
188500,1010316
189000,1012930
189500,1015584
190000,1018210
190500,1020830
191000,1023444
191500,1026048
192000,1028712
192500,1031332
193000,1033952
193500,1036547
194000,1039158
194500,1041763
195000,1044347
195500,1046960
196000,1049564
196500,1052187
197000,1054796
197500,1057387
198000,1060175
198500,1062860
199000,1065463
199500,1068081
200000,1070691
200500,1073291
201000,1075897
201500,1078547
