step,elapsed_us
0,8195
100,9004
200,9777
300,10547
400,11296
500,12043
600,12811
700,13554
800,14302
900,15051
1000,15798
1100,16558
1200,17311
1300,18069
1400,18843
1500,19594
1600,20369
1700,21136
1800,21906
1900,22664
2000,23416
2100,24177
2200,24936
2300,25831
2400,26608
2500,27381
2600,28150
2700,28922
2800,29715
2900,30476
3000,31245
3100,32014
3200,32790
3300,33556
3400,34307
3500,35063
3600,35827
3700,36573
3800,37328
3900,38082
4000,38839
4100,39624
4200,40394
4300,41161
4400,41942
4500,42717
4600,43480
4700,44232
4800,44990
4900,45762
5000,46520
5100,47293
5200,48063
5300,48838
5400,49602
5500,50384
5600,51155
5700,51921
5800,52696
5900,53459
6000,54228
6100,54992
6200,55734
6300,56269
6400,56799
6500,57327
6600,57860
6700,58391
6800,58934
6900,59467
7000,60000
7100,60534
7200,61072
7300,61620
7400,62160
7500,62702
7600,63236
7700,63778
7800,64319
7900,64857
8000,65412
8100,65945
8200,66527
8300,67063
8400,67596
8500,68131
8600,68663
8700,69287
8800,69828
8900,70410
9000,71310
9100,71863
9200,72406
9300,72953
9400,73502
9500,74042
9600,74591
9700,75146
9800,75692
9900,76242
10000,76783
10100,77325
10200,77871
10300,78409
10400,78955
10500,79499
10600,80042
10700,80582
10800,81122
10900,81665
11000,82210
11100,82754
11200,83301
11300,83841
11400,84385
11500,84944
11600,85487
11700,86019
11800,86553
11900,87090
12000,87625
12100,88159
12200,88693
12300,89229
12400,89775
12500,90309
12600,90856
12700,91397
12800,91931
12900,92478
13000,93020
13100,93565
13200,94111
13300,94659
13400,95226
13500,95777
13600,96323
13700,96869
13800,97406
13900,97952
14000,98492
14100,99039
14200,99574
14300,100118
14400,100659
14500,101199
14600,101742
14700,102282
14800,102828
14900,103371
15000,103914
15100,104459
15200,105010
15300,105557
15400,106107
15500,106649
15600,107196
15700,107736
15800,108277
15900,108818
16000,109358
16100,109907
16200,110452
16300,110996
16400,111551
16500,112094
16600,112637
16700,113191
16800,113732
16900,114276
17000,114820
17100,115357
17200,115902
17300,116442
17400,117147
17500,117692
17600,118239
17700,118781
17800,119328
17900,119871
18000,120418
18100,121667
18200,122212
18300,122758
18400,123297
18500,123838
18600,124391
18700,124936
18800,125483
18900,126025
19000,126569
19100,127122
19200,127664
19300,128204
19400,128747
19500,129291
19600,129839
19700,130384
19800,130930
19900,131476
20000,132012
20100,132559
20200,133100
20300,133638
20400,134178
20500,134724
20600,135270
20700,135818
20800,136363
20900,136903
21000,137436
21100,137972
21200,138499
21300,139037
21400,139568
21500,140104
21600,140642
21700,141179
21800,141727
21900,142266
22000,142816
22100,143359
22200,143902
22300,144438
22400,144990
22500,145536
22600,146087
22700,146633
22800,147167
22900,147709
23000,148245
23100,148785
23200,149326
23300,149864
23400,150404
23500,150942
23600,151479
23700,152021
23800,152555
23900,153096
24000,153647
24100,154190
24200,154731
24300,155271
24400,155812
24500,156358
24600,156901
24700,157440
24800,157986
24900,158525
25000,159074
25100,159619
25200,160161
25300,160707
25400,161256
25500,161800
25600,162341
25700,162883
25800,163428
25900,163981
26000,164526
26100,165077
26200,165638
26300,166187
26400,166736
26500,167283
26600,167826
26700,168373
26800,168924
26900,169475
27000,170021
27100,170571
27200,171124
27300,171681
27400,172232
27500,172784
27600,173333
27700,173886
27800,174439
27900,174988
28000,175537
28100,176090
28200,176645
28300,177191
28400,177741
28500,178285
28600,178831
28700,179376
28800,179925
28900,180473
29000,181023
29100,181566
29200,182120
29300,182675
29400,183228
29500,183777
29600,184327
29700,184885
29800,185435
29900,185982
30000,186538
30100,187086
30200,187645
30300,188200
30400,188748
30500,189300
30600,189842
30700,190392
30800,190951
30900,191491
31000,192038
31100,192589
31200,193138
31300,193683
31400,194227
31500,194772
31600,195321
31700,195879
31800,196424
31900,196978
32000,197525
32100,198080
32200,198633
32300,199177
32400,199731
32500,200272
32600,200822
32700,201379
32800,201944
32900,202494
33000,203050
33100,203602
33200,204156
33300,204705
33400,205260
33500,205814
33600,206357
33700,206910
33800,207462
33900,208011
34000,208558
34100,209100
34200,209654
34300,210206
34400,210753
34500,211300
34600,211843
34700,212726
34800,213276
34900,213823
35000,214372
35100,214928
35200,215471
35300,216021
35400,216567
35500,217116
35600,217686
35700,218263
35800,218843
35900,219409
36000,219951
36100,221892
36200,222449
36300,222995
36400,223546
36500,224097
36600,224651
36700,225199
36800,225747
36900,226294
37000,226850
37100,227398
37200,228068
37300,228624
37400,229172
37500,229720
37600,230268
37700,230822
37800,231371
37900,231925
38000,232473
38100,233023
38200,233563
38300,234106
38400,234646
38500,235188
38600,235729
38700,236262
38800,236804
38900,237363
39000,237913
39100,238452
39200,238997
39300,239538
39400,240096
39500,240649
39600,241200
39700,241750
39800,242297
39900,242851
40000,243403
40100,243951
40200,244501
40300,245044
40400,245593
40500,246144
40600,246686
40700,247228
40800,247776
40900,248320
41000,248867
41100,249417
41200,249971
41300,250525
41400,251071
41500,251622
41600,252167
41700,252713
41800,253254
41900,253808
42000,254357
42100,254903
42200,255449
42300,255997
42400,256550
42500,257096
42600,257647
42700,258202
42800,258746
42900,259298
43000,259842
43100,260391
43200,260948
43300,261490
43400,262044
43500,262595
43600,263128
43700,263676
43800,264221
43900,264768
44000,265318
44100,265855
44200,266403
44300,266950
44400,267494
44500,268042
44600,268587
44700,269130
44800,269689
44900,270236
45000,270785
45100,271334
45200,271876
45300,272416
45400,272971
45500,273513
45600,274058
45700,274612
45800,275166
45900,275719
46000,276267
46100,276820
46200,277368
46300,277922
46400,278470
46500,279014
46600,279558
46700,280206
46800,280765
46900,281310
47000,281858
47100,282401
47200,282946
47300,283498
47400,284041
47500,284591
47600,285138
47700,285681
47800,286227
47900,286769
48000,287311
48100,287859
48200,288408
48300,288947
48400,289493
48500,290041
48600,290590
48700,291141
48800,291683
48900,292238
49000,292783
49100,293327
49200,293875
49300,294421
49400,294957
49500,295489
49600,296048
49700,296596
49800,297132
49900,297669
50000,298217
50100,298758
50200,299313
50300,299866
50400,300408
50500,300954
50600,301492
50700,302044
50800,302598
50900,303143
51000,303695
51100,304249
51200,304802
51300,305349
51400,305895
51500,306435
51600,306990
51700,307535
51800,308084
51900,308634
52000,309178
52100,309724
52200,310268
52300,310816
52400,311363
52500,311909
52600,312452
52700,313003
52800,313546
52900,314086
53000,314633
53100,315180
53200,315727
53300,316267
53400,316813
53500,317357
53600,317903
53700,318452
53800,318998
53900,319536
54000,320087
54100,320632
54200,321173
54300,321721
54400,322265
54500,322812
54600,323351
54700,323896
54800,324438
54900,324983
55000,325530
55100,326075
55200,326623
55300,327161
55400,327713
55500,328259
55600,328804
55700,329354
55800,329901
55900,330448
56000,330999
56100,331543
56200,332094
56300,332637
56400,333181
56500,333730
56600,334274
56700,334818
56800,335356
56900,335908
57000,336447
57100,336995
57200,337539
57300,338083
57400,338637
57500,339186
57600,339735
57700,340284
57800,340828
57900,341382
58000,341931
58100,342478
58200,343021
58300,343569
58400,344124
58500,344673
58600,345218
58700,345764
58800,346308
58900,346854
59000,347399
59100,347945
59200,348496
59300,349042
59400,349598
59500,350148
59600,350695
59700,351237
59800,351790
59900,352342
60000,352880
60100,353426
60200,353967
60300,354518
60400,355109
60500,355659
60600,356216
60700,356762
60800,357311
60900,357855
61000,358395
61100,358937
61200,359480
61300,360033
61400,360576
61500,361121
61600,361661
61700,362206
61800,362753
61900,363291
62000,363838
62100,364382
62200,364936
62300,365484
62400,366077
62500,366636
62600,367177
62700,367727
62800,368285
62900,368825
63000,369379
63100,369920
63200,370466
63300,371018
63400,371562
63500,372110
63600,372660
63700,373212
63800,373756
63900,374302
64000,374851
64100,375399
64200,375951
64300,376494
64400,377035
64500,377588
64600,378126
64700,378677
64800,379224
64900,379777
65000,380326
65100,380866
65200,381422
65300,381970
65400,382512
65500,383066
65600,383650
65700,384199
65800,384747
65900,385290
66000,385836
66100,386388
66200,386935
66300,387483
66400,388025
66500,388571
66600,389123
66700,389666
66800,390210
66900,390749
67000,391292
67100,391839
67200,392383
67300,392931
67400,393474
67500,394020
67600,394565
67700,395111
67800,395659
67900,396202
68000,396749
68100,397290
68200,397839
68300,398384
68400,398927
68500,399470
68600,400013
68700,400560
68800,401106
68900,401651
69000,402199
69100,402742
69200,403288
69300,403831
69400,404368
69500,404930
69600,405478
69700,406023
69800,406571
69900,407112
70000,407668
70100,408214
70200,408765
70300,409313
70400,409860
70500,410410
70600,410959
70700,411501
70800,412048
70900,412598
71000,413145
71100,413690
71200,414236
71300,414779
71400,415323
71500,415875
71600,416417
71700,416961
71800,417507
71900,418056
72000,418613
72100,419216
72200,419772
72300,420325
72400,420870
72500,421420
72600,421961
72700,422507
72800,423060
72900,423607
73000,424147
73100,424693
73200,425229
73300,425779
73400,426323
73500,426877
73600,427421
73700,427961
73800,428508
73900,429054
74000,429604
74100,430146
74200,430691
74300,431231
74400,431782
74500,432325
74600,432869
74700,433410
74800,433954
74900,434504
75000,435048
75100,435596
75200,436146
75300,436689
75400,437241
75500,437792
75600,438341
75700,438890
75800,439439
75900,439989
76000,440537
76100,441082
76200,441628
76300,442181
76400,442729
76500,443272
76600,443818
76700,444356
76800,444894
76900,445436
77000,445967
77100,446503
77200,447039
77300,447575
77400,448121
77500,448654
77600,449196
77700,449732
77800,450265
77900,450802
78000,451333
78100,451857
78200,452389
78300,452925
78400,453454
78500,454025
78600,454570
78700,455115
78800,455660
78900,456202
79000,456751
79100,457295
79200,457854
79300,458397
79400,458939
79500,459473
79600,460022
79700,460567
79800,461114
79900,461660
80000,462194
80100,462741
80200,463288
80300,463830
80400,464378
80500,464918
80600,465469
80700,466026
80800,466566
80900,467122
81000,467673
81100,468218
81200,468773
81300,469315
81400,469868
81500,470412
81600,470957
81700,471513
81800,472059
81900,472607
82000,473150
82100,473701
82200,474248
82300,474790
82400,475336
82500,475889
82600,476436
82700,476986
82800,477529
82900,478074
83000,478621
83100,479177
83200,479724
83300,480265
83400,480814
83500,481354
83600,481906
83700,482451
83800,482998
83900,483547
84000,484095
84100,484647
84200,485194
84300,485740
84400,486290
84500,486841
84600,487387
84700,487934
84800,488482
84900,489034
85000,489582
85100,490135
85200,490684
85300,491231
85400,491777
85500,492325
85600,492871
85700,493414
85800,493967
85900,494510
86000,495058
86100,495615
86200,496162
86300,496714
86400,497257
86500,497810
86600,498354
86700,498904
86800,499443
86900,499988
87000,500532
87100,501083
87200,501630
87300,502175
87400,502716
87500,503266
87600,503806
87700,504352
87800,504899
87900,505436
88000,505982
88100,506522
88200,507066
88300,507613
88400,508152
88500,508710
88600,509257
88700,509799
88800,510345
88900,510883
89000,511432
89100,511977
89200,512518
89300,513070
89400,513624
89500,514169
89600,514716
89700,515255
89800,515805
89900,516356
90000,516903
90100,517452
90200,517992
90300,518535
90400,519082
90500,519632
90600,520177
90700,520722
90800,521267
90900,521819
91000,522360
91100,522904
91200,523446
91300,523989
91400,524537
91500,525085
91600,525632
91700,526175
91800,526725
91900,527279
92000,527824
92100,528365
92200,528899
92300,529446
92400,529990
92500,530529
92600,531073
92700,531615
92800,532165
92900,532705
93000,533241
93100,533783
93200,534323
93300,534864
93400,535407
93500,535945
93600,536488
93700,537030
93800,537573
93900,538119
94000,538651
94100,539195
94200,539740
94300,540278
94400,540822
94500,541360
94600,541902
94700,542446
94800,542990
94900,543532
95000,544072
95100,544614
95200,545154
95300,545693
95400,546235
95500,546780
95600,547317
95700,547857
95800,548405
95900,548943
96000,549485
96100,550033
96200,550577
96300,551126
96400,551675
96500,552213
96600,552759
96700,553303
96800,553847
96900,554392
97000,554929
97100,555470
97200,556019
97300,556560
97400,557101
97500,557649
97600,558187
97700,558737
97800,559277
97900,559820
98000,560362
98100,560903
98200,561451
98300,561990
98400,562528
98500,563122
98600,563666
98700,564211
98800,564753
98900,565295
99000,565840
99100,566377
99200,566920
99300,567456
99400,567992
99500,568531
99600,569077
99700,569620
99800,570158
99900,570696
100000,571235
100100,571782
100200,572328
100300,572871
100400,573408
100500,573949
100600,574491
100700,575040
100800,575600
100900,576150
101000,576693
101100,577246
101200,577791
101300,578336
101400,578881
101500,579420
101600,579965
101700,580512
101800,581046
101900,581592
102000,582139
102100,582685
102200,583224
102300,583768
102400,584304
102500,584848
102600,585391
102700,585934
102800,586479
102900,587024
103000,587566
103100,588113
103200,588669
103300,589212
103400,589757
103500,590302
103600,590841
103700,591379
103800,591922
103900,592463
104000,593010
104100,593552
104200,594096
104300,594643
104400,595184
104500,595730
104600,596268
104700,596809
104800,597347
104900,597884
105000,598431
105100,598968
105200,599503
105300,600045
105400,600579
105500,601130
105600,601671
105700,602205
105800,602748
105900,603283
106000,603825
106100,604364
106200,604900
106300,605440
106400,605980
106500,606529
106600,607071
106700,607609
106800,608147
106900,608685
107000,609230
107100,609770
107200,610316
107300,610861
107400,611406
107500,611988
107600,612526
107700,613073
107800,613614
107900,614155
108000,614704
108100,615240
108200,615786
108300,616327
108400,616870
108500,617414
108600,617951
108700,618496
108800,619039
108900,619591
109000,620130
109100,620669
109200,621211
109300,621747
109400,622293
109500,622833
109600,623374
109700,623915
109800,624457
109900,625003
110000,625535
110100,626074
110200,626626
110300,627169
110400,627715
110500,628257
110600,628799
110700,629341
110800,629881
110900,630421
111000,630968
111100,631508
111200,632051
111300,632606
111400,633143
111500,633689
111600,634227
111700,634765
111800,635307
111900,635836
112000,636384
112100,636925
112200,637465
112300,638015
112400,638554
112500,639103
112600,639648
112700,640188
112800,640733
112900,641279
113000,641821
113100,642363
113200,642910
113300,643456
113400,644000
113500,644540
113600,645081
113700,645634
113800,646176
113900,646718
114000,647264
114100,647805
114200,648354
114300,648894
114400,649431
114500,649968
114600,650495
114700,651038
114800,651588
114900,652126
115000,652667
115100,653212
115200,653755
115300,654298
115400,654844
115500,655386
115600,655937
115700,656478
115800,657009
115900,657539
116000,658064
116100,658608
116200,659143
116300,659674
116400,660207
116500,660730
116600,661288
116700,661842
116800,662380
116900,662912
117000,663450
117100,663989
117200,664531
117300,665067
117400,665617
117500,666155
117600,666707
117700,667245
117800,667786
117900,668329
118000,668870
118100,669409
118200,669948
118300,670487
118400,671030
118500,671567
118600,672118
118700,672657
118800,673195
118900,673742
119000,674277
119100,674819
119200,675352
119300,675888
119400,676425
119500,676964
119600,677498
119700,678035
119800,678567
119900,679097
120000,679642
120100,680174
120200,680710
120300,681246
120400,681780
120500,682327
120600,682861
120700,683400
120800,683942
120900,684479
121000,685026
121100,685560
121200,686096
121300,686640
121400,687180
121500,687718
121600,688258
121700,688795
121800,689337
121900,689877
122000,690413
122100,690956
122200,691491
122300,692027
122400,692565
122500,693101
122600,693640
122700,694179
122800,694722
122900,695260
123000,695802
123100,696338
123200,696884
123300,697418
123400,697961
123500,698497
123600,699033
123700,699569
123800,700109
123900,700653
124000,701192
124100,701733
124200,702275
124300,702819
124400,703354
124500,703888
124600,704428
124700,704970
124800,705506
124900,706054
125000,706590
125100,707128
125200,707668
125300,708201
125400,708744
125500,709274
125600,709817
125700,710361
125800,710898
125900,711434
126000,711985
126100,712525
126200,713070
126300,713618
126400,714157
126500,714697
126600,715234
126700,715769
126800,716309
126900,716848
127000,717390
127100,717929
127200,718460
127300,719007
127400,719540
127500,720076
127600,720619
127700,721156
127800,721698
127900,722238
128000,722775
128100,723314
128200,723850
128300,724384
128400,724922
128500,725453
128600,725991
128700,726538
128800,727078
128900,727623
129000,728159
129100,728694
129200,729234
129300,729772
129400,730310
129500,730850
129600,731390
129700,731937
129800,732478
129900,733015
130000,733557
130100,734091
130200,734633
130300,735171
130400,735779
130500,736312
130600,736853
130700,737386
130800,737924
130900,738478
131000,739049
131100,740216
131200,740768
131300,741310
131400,741859
131500,742396
131600,742937
131700,743478
131800,744022
131900,744567
132000,745112
132100,745654
132200,746192
132300,746733
132400,747276
132500,747815
132600,748358
132700,748898
132800,749432
132900,749974
133000,750514
133100,751056
133200,751592
133300,752135
133400,752677
133500,753268
133600,753880
133700,754453
133800,754996
133900,755533
134000,756076
134100,756623
134200,757163
134300,757706
134400,758251
134500,758801
134600,759346
134700,759892
134800,760432
134900,760980
135000,761530
135100,762073
135200,762628
135300,763174
135400,763730
135500,764280
135600,764820
135700,765363
135800,765902
135900,766438
136000,766985
136100,767533
136200,768079
136300,768625
136400,769171
136500,769719
136600,770261
136700,770804
136800,771346
136900,771885
137000,772437
137100,772984
137200,773519
137300,774064
137400,774611
137500,775149
137600,775699
137700,776239
137800,776772
137900,777320
138000,777853
138100,778391
138200,778933
138300,779463
138400,780014
138500,780557
138600,781097
138700,781644
138800,782188
138900,784002
139000,784547
139100,785094
139200,785646
139300,786184
139400,786760
139500,787321
139600,787865
139700,788408
139800,788944
139900,789487
140000,790030
140100,790567
140200,791115
140300,791666
140400,792206
140500,792753
140600,793292
140700,793833
140800,794378
140900,794921
141000,795461
141100,796007
141200,796550
141300,797099
141400,797641
141500,798189
141600,798733
141700,799280
141800,799824
141900,800363
142000,800907
142100,801454
142200,801993
142300,802536
142400,803190
142500,803734
142600,804271
142700,804821
142800,805357
142900,805908
143000,806457
143100,807004
143200,807550
143300,808093
143400,808642
143500,809184
143600,809726
143700,810273
143800,810811
143900,811351
144000,811959
144100,812510
144200,813068
144300,813618
144400,814159
144500,814702
144600,815241
144700,815796
144800,816340
144900,816884
145000,817424
145100,817975
145200,818525
145300,819076
145400,819624
145500,820166
145600,820707
145700,821249
145800,821797
145900,822341
146000,822884
146100,823423
146200,823967
146300,824510
146400,825049
146500,825599
146600,826142
146700,826685
146800,827234
146900,827781
147000,828326
147100,828873
147200,829418
147300,829967
147400,830507
147500,831066
147600,831620
147700,832159
147800,832714
147900,833260
148000,833806
148100,834359
148200,834911
148300,835456
148400,836006
148500,836565
148600,837120
148700,837672
148800,838219
148900,838768
149000,839314
149100,839861
149200,840402
149300,840956
149400,841497
149500,842047
149600,842592
149700,843150
149800,843695
149900,844245
150000,844801
150100,845344
150200,845888
150300,846434
150400,847026
150500,847577
150600,848122
150700,848666
150800,849206
150900,849750
151000,850294
151100,850835
151200,851375
151300,851916
151400,852465
151500,853005
151600,853549
151700,854096
151800,854642
151900,855198
152000,855745
152100,856288
152200,856830
152300,857374
152400,857922
152500,858466
152600,859007
152700,859552
152800,860097
152900,860650
153000,861194
153100,861730
153200,862269
153300,862813
153400,863361
153500,863911
153600,864448
153700,864998
153800,865540
153900,866085
154000,866634
154100,867185
154200,867738
154300,868277
154400,868828
154500,869372
154600,869911
154700,870454
154800,871001
154900,871545
155000,872085
155100,872631
155200,873178
155300,873726
155400,874280
155500,874827
155600,875365
155700,875912
155800,876457
155900,876997
156000,877545
156100,878079
156200,878629
156300,879173
156400,879719
156500,880267
156600,880811
156700,881357
156800,881909
156900,882448
157000,882986
157100,883515
157200,884048
157300,884591
157400,885121
157500,885657
157600,886189
157700,886721
157800,887301
157900,887843
158000,888382
158100,888924
158200,889457
158300,890012
158400,890555
158500,891110
158600,891665
158700,892212
158800,892760
158900,893303
159000,893848
159100,894386
159200,894936
159300,895477
159400,896014
159500,896561
159600,897099
159700,897729
159800,898304
159900,898847
160000,899389
160100,899929
160200,900470
160300,901020
160400,901561
160500,902100
160600,902643
160700,903185
160800,903729
160900,904271
161000,904810
161100,905358
161200,905903
161300,906444
161400,906986
161500,907522
161600,908117
161700,908677
161800,909222
161900,909765
162000,910305
162100,910853
162200,911445
162300,911981
162400,912523
162500,913065
162600,913606
162700,914153
162800,914692
162900,915231
163000,915778
163100,916319
163200,916862
163300,917400
163400,917947
163500,918489
163600,919040
163700,919592
163800,920134
163900,920680
164000,921218
164100,921763
164200,922299
164300,922837
164400,923385
164500,923936
164600,924476
164700,925025
164800,925559
