step,elapsed_us
0,4326
500,39546
1000,68568
1500,93393
2000,118336
2500,143496
3000,168201
3500,193080
4000,217736
4500,243020
5000,267290
5500,291725
6000,316366
6500,341267
7000,366308
7500,391380
8000,416564
8500,441378
9000,466947
9500,492125
10000,517609
10500,542844
11000,568013
11500,592964
12000,617993
12500,642686
13000,667801
13500,692650
14000,717964
14500,743001
15000,767858
15500,793080
16000,817815
16500,842667
17000,867423
17500,893049
18000,917934
18500,942741
19000,967691
19500,992916
20000,1017644
20500,1042715
21000,1067427
21500,1092266
22000,1117241
22500,1142144
23000,1166970
23500,1191962
24000,1217023
24500,1242417
25000,1267517
25500,1292592
26000,1317333
26500,1342562
27000,1367632
27500,1392055
28000,1417398
28500,1442552
29000,1467669
29500,1492638
30000,1517357
30500,1542578
31000,1567417
31500,1592247
32000,1617379
32500,1642098
33000,1667009
33500,1691962
34000,1716768
34500,1742222
35000,1767213
35500,1792676
36000,1817966
36500,1842900
37000,1867452
37500,1892688
38000,1917692
38500,1942637
39000,1967304
39500,1991929
40000,2016943
40500,2041923
41000,2066500
41500,2091493
42000,2116713
42500,2141360
43000,2166156
43500,2191348
44000,2216126
44500,2241324
45000,2266698
45500,2291580
46000,2316275
46500,2340787
47000,2365990
47500,2390665
48000,2415863
48500,2440891
49000,2465476
49500,2490326
50000,2515375
50500,2540231
51000,2565211
51500,2590370
52000,2615607
52500,2640938
53000,2665832
53500,2690321
54000,2715370
54500,2740810
55000,2766071
55500,2790480
56000,2815531
56500,2839996
57000,2864730
57500,2889756
58000,2914545
58500,2939423
59000,2964292
59500,2989132
60000,3014038
60500,3039041
61000,3064416
61500,3089473
62000,3114879
62500,3140091
63000,3164772
63500,3189452
64000,3214419
64500,3239826
65000,3264972
65500,3290203
66000,3316100
66500,3341553
67000,3366683
67500,3391569
68000,3416877
68500,3442244
69000,3467416
69500,3492729
70000,3517568
70500,3542437
71000,3567238
71500,3592159
72000,3617424
72500,3642610
73000,3667492
73500,3692556
74000,3717527
74500,3742545
75000,3767511
75500,3792813
76000,3817666
76500,3842781
77000,3867344
77500,3892190
78000,3917175
78500,3942327
79000,3967260
79500,3992195
80000,4017494
80500,4041844
81000,4066494
81500,4091021
82000,4116238
82500,4141139
83000,4166295
83500,4191577
84000,4216589
84500,4241701
85000,4267175
85500,4292221
86000,4316965
86500,4341751
87000,4366455
87500,4391028
88000,4415652
88500,4440789
89000,4465457
89500,4490507
90000,4515448
90500,4540229
91000,4565224
