step,elapsed_us
0,4401
100,11284
200,18057
300,25169
400,32366
500,39368
600,46073
700,51811
800,56579
900,61403
1000,66377
1100,71226
1200,76314
1300,80993
1400,85890
1500,90804
1600,95610
1700,100719
1800,105592
1900,110496
2000,115417
2100,120289
2200,125474
2300,130331
2400,135390
2500,140082
2600,144783
2700,149696
2800,154621
2900,159502
3000,164403
3100,169313
3200,174209
3300,178925
3400,183814
3500,188722
3600,193613
3700,198314
3800,203188
3900,208137
4000,212853
4100,217701
4200,222512
4300,227347
4400,232547
4500,237607
4600,242248
4700,247294
4800,252242
4900,256880
5000,261521
5100,266356
5200,271203
5300,276050
5400,280704
5500,285556
5600,290521
5700,295422
5800,300291
5900,304964
6000,310012
6100,314898
6200,319821
6300,324750
6400,329668
6500,334580
6600,339493
6700,344415
6800,349353
6900,354285
7000,359238
7100,364170
7200,369120
7300,374000
7400,378931
7500,383881
7600,389054
7700,393922
7800,398784
7900,403764
8000,408732
8100,413773
8200,418657
8300,423988
8400,428511
8500,433387
8600,438271
8700,443955
8800,448874
8900,453922
9000,458816
9100,463785
9200,468730
9300,473659
9400,478612
9500,483553
9600,488727
9700,493676
9800,498607
9900,503548
10000,508512
10100,513538
10200,518471
10300,523426
10400,528375
10500,533314
10600,538263
10700,543222
10800,548173
10900,553098
11000,558037
11100,562940
11200,567938
11300,572704
11400,577672
11500,582635
11600,587646
11700,592697
11800,597449
11900,602385
12000,607322
12100,612242
12200,617337
12300,622056
12400,626790
12500,631512
12600,636434
12700,641152
12800,646113
12900,651275
13000,656193
13100,661126
13200,665896
13300,670583
13400,675473
13500,680391
13600,685304
13700,690240
13800,695154
13900,700349
14000,705325
14100,710235
14200,715200
14300,720109
14400,725032
14500,729962
14600,734860
14700,739762
14800,744480
14900,749598
15000,754554
15100,759608
15200,764564
15300,769507
15400,774442
15500,779520
15600,784430
15700,789416
15800,794412
15900,799310
16000,804241
16100,809236
16200,814160
16300,818877
16400,823657
16500,828882
16600,834057
16700,838743
16800,843607
16900,848458
17000,853336
17100,858156
17200,862897
17300,867835
17400,873477
17500,878417
17600,883300
17700,888155
17800,893172
17900,898048
18000,902795
18100,907778
18200,912456
18300,917387
18400,922292
18500,927211
18600,932124
18700,937027
18800,941911
18900,946794
19000,951706
19100,956612
19200,961504
19300,966583
19400,971449
19500,976342
19600,981346
19700,986561
19800,991562
19900,996306
20000,1001012
20100,1005936
20200,1010875
20300,1015795
20400,1020709
20500,1025635
20600,1030563
20700,1035483
20800,1040455
20900,1045177
21000,1049964
21100,1054949
21200,1059903
21300,1064640
21400,1069534
21500,1074446
21600,1079310
21700,1084243
21800,1089182
21900,1094125
22000,1099192
22100,1104174
22200,1109134
22300,1114073
22400,1118817
22500,1123770
22600,1128737
22700,1133510
22800,1138762
22900,1143655
23000,1148521
23100,1153529
23200,1158487
23300,1163426
23400,1168174
23500,1173103
23600,1178028
23700,1182956
23800,1187680
23900,1192612
24000,1197528
24100,1202429
24200,1207376
24300,1212511
24400,1217401
24500,1222318
24600,1227251
24700,1232188
24800,1237149
24900,1242099
25000,1246820
25100,1251748
25200,1256665
25300,1261598
25400,1266538
25500,1271457
25600,1276191
25700,1281134
25800,1286234
25900,1290910
26000,1295617
26100,1300689
26200,1305541
26300,1310427
26400,1315361
26500,1320222
26600,1325088
26700,1329943
26800,1335004
26900,1339721
27000,1344678
27100,1349389
27200,1354078
27300,1358998
27400,1363914
27500,1368602
27600,1373726
27700,1378638
27800,1383568
27900,1388646
28000,1393557
28100,1398452
28200,1403362
28300,1408326
28400,1413126
28500,1417985
28600,1423021
28700,1427939
28800,1432857
28900,1437740
29000,1442785
29100,1447807
29200,1452756
29300,1457781
29400,1462694
29500,1467600
29600,1472335
29700,1477384
29800,1482250
29900,1486935
30000,1491799
30100,1496676
30200,1501558
30300,1506439
30400,1511522
30500,1516433
30600,1521329
30700,1526213
30800,1531145
30900,1536083
31000,1540923
31100,1545834
31200,1550755
31300,1555636
31400,1560404
31500,1565235
31600,1570167
31700,1575222
31800,1580123
31900,1585016
32000,1590047
32100,1595094
32200,1599846
32300,1604878
32400,1609466
32500,1614375
32600,1619408
32700,1624618
32800,1629689
32900,1634847
33000,1639584
33100,1644691
33200,1649637
33300,1654422
33400,1659353
33500,1664253
33600,1669191
33700,1673927
33800,1678704
33900,1683660
34000,1688611
34100,1693761
34200,1698732
34300,1703670
34400,1708609
34500,1713655
34600,1718525
34700,1723461
34800,1728431
34900,1733358
35000,1738300
35100,1743448
35200,1748412
35300,1753462
35400,1758403
35500,1763359
35600,1768444
35700,1773350
35800,1778249
35900,1783153
36000,1788065
36100,1792996
36200,1797715
36300,1802667
36400,1807601
36500,1812541
36600,1817484
36700,1822310
36800,1827205
36900,1831982
37000,1836754
37100,1841728
37200,1846846
37300,1851790
37400,1856698
37500,1861607
37600,1866727
37700,1871617
37800,1876495
37900,1881370
38000,1886264
38100,1891163
38200,1896011
38300,1900899
38400,1905849
38500,1910808
38600,1915536
38700,1920418
38800,1925283
38900,1929965
39000,1935045
39100,1939786
39200,1944595
39300,1949284
39400,1954186
39500,1959096
39600,1963991
39700,1968894
39800,1973811
39900,1978647
40000,1983678
40100,1988614
40200,1993558
40300,1998287
40400,2003262
40500,2008286
40600,2013075
40700,2018008
40800,2022752
40900,2027656
41000,2032409
41100,2037432
41200,2042279
41300,2047189
41400,2052362
41500,2057078
41600,2062045
41700,2067168
41800,2072086
41900,2076976
42000,2081879
42100,2086735
42200,2091635
42300,2096328
42400,2101256
42500,2106140
42600,2111027
42700,2116151
42800,2121028
42900,2125938
43000,2130637
43100,2135548
43200,2140612
43300,2145407
43400,2150284
43500,2155151
43600,2160023
43700,2164881
43800,2169763
43900,2174515
44000,2179339
44100,2184233
44200,2189331
44300,2194239
44400,2199146
44500,2204052
44600,2208948
44700,2213855
44800,2218956
44900,2223870
45000,2228849
45100,2233809
45200,2238744
45300,2243662
45400,2248567
45500,2253285
45600,2257996
45700,2262923
45800,2267752
45900,2272673
46000,2277627
46100,2282442
46200,2287196
46300,2292135
46400,2297174
46500,2301904
46600,2306805
46700,2311730
46800,2316669
46900,2321669
47000,2326753
47100,2331492
47200,2336603
47300,2341301
47400,2346043
47500,2350975
47600,2355926
47700,2360875
47800,2365808
47900,2370737
48000,2375878
48100,2380618
48200,2385394
48300,2390295
48400,2395220
48500,2400293
48600,2405170
48700,2409955
48800,2414745
48900,2419586
49000,2424655
49100,2429517
49200,2434640
49300,2439356
49400,2444274
49500,2449175
49600,2454373
49700,2459222
49800,2463987
49900,2468867
50000,2473917
50100,2478593
50200,2483507
50300,2488382
50400,2493243
50500,2498151
50600,2503076
50700,2508058
50800,2513083
50900,2518021
51000,2522738
51100,2527664
51200,2532602
51300,2538155
51400,2542922
51500,2547889
51600,2552943
51700,2558006
51800,2563106
51900,2568065
52000,2573041
52100,2578003
52200,2583105
52300,2587984
52400,2592833
52500,2597690
52600,2602411
52700,2607216
52800,2612275
52900,2617128
53000,2621966
53100,2626643
53200,2631499
53300,2636384
53400,2641028
53500,2645877
53600,2650721
53700,2655582
53800,2660485
53900,2665750
54000,2670472
54100,2675409
54200,2680352
54300,2685397
54400,2690351
54500,2695280
54600,2700193
54700,2705089
54800,2710054
54900,2714946
55000,2719870
55100,2724603
55200,2729345
55300,2734094
55400,2738835
55500,2743886
55600,2748953
55700,2753927
55800,2758871
55900,2763938
56000,2768808
56100,2773357
56200,2778250
56300,2783051
56400,2788004
56500,2792880
56600,2797714
56700,2802645
56800,2807510
56900,2812379
57000,2817257
57100,2822315
57200,2827242
57300,2832149
57400,2837094
57500,2841956
57600,2846854
57700,2851891
57800,2856758
57900,2861478
58000,2866457
58100,2871348
58200,2876061
58300,2881134
58400,2885971
58500,2890998
58600,2895877
58700,2900789
58800,2905666
58900,2910504
59000,2915405
59100,2920254
59200,2925213
59300,2930227
59400,2934925
59500,2939814
59600,2944714
59700,2949619
59800,2954474
59900,2959369
60000,2964270
60100,2969142
60200,2974016
60300,2978885
60400,2983973
60500,2989077
60600,2994184
60700,2999113
60800,3003853
60900,3008971
61000,3013877
61100,3018570
61200,3023348
61300,3028254
61400,3033408
61500,3038333
61600,3043267
61700,3048208
61800,3053129
61900,3058118
62000,3063158
62100,3068360
62200,3073082
62300,3078281
62400,3083173
62500,3088069
62600,3092872
62700,3097587
62800,3102397
62900,3107303
63000,3112207
63100,3117080
63200,3122017
63300,3126612
63400,3131495
63500,3136210
63600,3141161
63700,3146212
63800,3151161
63900,3155896
64000,3160648
64100,3165419
64200,3170375
64300,3175372
64400,3180506
64500,3185444
64600,3190327
64700,3195311
64800,3200032
64900,3204813
65000,3209848
65100,3214556
65200,3219667
65300,3224433
65400,3229357
65500,3234317
65600,3239606
65700,3244657
65800,3249642
65900,3254594
66000,3259776
66100,3264742
66200,3269724
66300,3274704
