step,elapsed_us
0,4318
500,8226
1000,12068
1500,15962
2000,19844
2500,23885
3000,27861
3500,31733
4000,35642
4500,39850
5000,42952
5500,45789
6000,48591
6500,51317
7000,54147
7500,56932
8000,59724
8500,62503
9000,65673
9500,68420
10000,71156
10500,73927
11000,76743
11500,79548
12000,82288
12500,85012
13000,87762
13500,90539
14000,93337
14500,96153
15000,98948
15500,101776
16000,104573
16500,107463
17000,110295
17500,113783
18000,116532
18500,119252
19000,121969
19500,124716
20000,127521
20500,130328
21000,133120
21500,135907
22000,138698
22500,141477
23000,144243
23500,147074
24000,149906
24500,152679
25000,155405
25500,158124
26000,160874
26500,163745
27000,166573
27500,169379
28000,172204
28500,174994
29000,177819
29500,180646
30000,183516
30500,186331
31000,189149
31500,191953
32000,194774
32500,197561
33000,200385
33500,203192
34000,205987
34500,208802
35000,211626
35500,214432
36000,217241
36500,220039
37000,222844
37500,225632
38000,228359
38500,231085
39000,233802
39500,236576
40000,239377
40500,242183
41000,244967
41500,247768
42000,250585
42500,253362
43000,256154
43500,258938
44000,261730
44500,264541
45000,267330
45500,270120
46000,272887
46500,276332
47000,279138
47500,282068
48000,284945
48500,287882
49000,290676
49500,293475
50000,296272
50500,299064
51000,301877
51500,304702
52000,307515
52500,310354
53000,313168
53500,315981
54000,318793
54500,321598
55000,324401
55500,327194
56000,330000
56500,332797
57000,335613
57500,338447
58000,341265
58500,344073
59000,346884
59500,349682
60000,352487
60500,355346
61000,358171
61500,361036
62000,363837
62500,366635
63000,369427
63500,372223
64000,375016
64500,377842
65000,380647
65500,383452
66000,386571
66500,389384
67000,392209
67500,394998
68000,397806
68500,400608
69000,403399
69500,406284
70000,409121
70500,411918
71000,414730
71500,417456
72000,420220
72500,423032
73000,425849
73500,428666
74000,431478
74500,434264
75000,437057
75500,439861
76000,442645
76500,445445
77000,448235
77500,451037
78000,453838
78500,456636
79000,459448
79500,462251
80000,465058
80500,467843
81000,470626
81500,473493
82000,476417
82500,479276
83000,482122
83500,484972
84000,487760
84500,490479
85000,493223
85500,495963
86000,498809
86500,501605
87000,504408
87500,507167
88000,509889
88500,512613
89000,515375
89500,518196
90000,521045
90500,523829
91000,526549
