step,elapsed_us
0,3252
100,3839
200,4394
300,4956
400,5512
500,6064
600,6619
700,7220
800,7775
900,8325
1000,8884
1100,9444
1200,10007
1300,10553
1400,11118
1500,11692
1600,12242
1700,12809
1800,13371
1900,13931
2000,14491
2100,15070
2200,15735
2300,16287
2400,16848
2500,17409
2600,17984
2700,18565
2800,19134
2900,19710
3000,20268
3100,20826
3200,21378
3300,21975
3400,22534
3500,23097
3600,23662
3700,24218
3800,24773
3900,25338
4000,25897
4100,26513
4200,27077
4300,27642
4400,28396
4500,28961
4600,29517
4700,30079
4800,30659
4900,31235
5000,31811
5100,32401
5200,32982
5300,33577
5400,34152
5500,34724
5600,35306
5700,35890
5800,36477
5900,37037
6000,37613
6100,38172
6200,38741
6300,39310
6400,39868
6500,40431
6600,41006
6700,41581
6800,42198
6900,42778
7000,43352
7100,43924
7200,44497
7300,45080
7400,45650
7500,46221
7600,46800
7700,47376
7800,47950
7900,48530
8000,49103
8100,49684
8200,50297
8300,50866
8400,51414
8500,51972
8600,52535
8700,53513
8800,54101
8900,54684
9000,55249
9100,55813
9200,56384
9300,56960
9400,57536
9500,58104
9600,58678
9700,59244
9800,59803
9900,60370
10000,60938
10100,61502
10200,62068
10300,62645
10400,63220
10500,63802
10600,64385
10700,64965
10800,65550
10900,66182
11000,66763
11100,67338
11200,67914
11300,68484
11400,69068
11500,69653
11600,70242
11700,70801
11800,71355
11900,71916
12000,72481
12100,73044
12200,73607
12300,74165
12400,74733
12500,75294
12600,75853
12700,76408
12800,76973
12900,77556
13000,78139
13100,78721
13200,79303
13300,79874
13400,80454
13500,81032
13600,81611
13700,82187
13800,82768
13900,83351
14000,83935
14100,84515
14200,85092
14300,85676
14400,86266
14500,86848
14600,87424
14700,87998
14800,88572
14900,89153
15000,89740
15100,90325
15200,90921
15300,91502
15400,92081
15500,92668
15600,93236
15700,93812
15800,94390
15900,94972
16000,95546
16100,96135
16200,96713
16300,97284
16400,97946
16500,98533
16600,99118
16700,99699
16800,100285
16900,100869
17000,101457
17100,102031
17200,102610
17300,103190
17400,104585
17500,105170
17600,105748
17700,106317
17800,106892
17900,107455
18000,108012
18100,108584
18200,109139
18300,109705
18400,110267
18500,110823
18600,111382
18700,111944
18800,112505
18900,113062
19000,113623
19100,114195
19200,114754
19300,115327
19400,115900
19500,116479
19600,117065
19700,117651
19800,118227
19900,118804
20000,119381
20100,119957
20200,120532
20300,121111
20400,121698
20500,122279
20600,122864
20700,123439
20800,124021
20900,124597
21000,125171
21100,125756
21200,126328
21300,126907
21400,127491
21500,128068
21600,128647
21700,129230
21800,129805
21900,130387
22000,130967
22100,131542
22200,132131
22300,132714
22400,133275
22500,133854
22600,134430
22700,135001
22800,135572
22900,136145
23000,136726
23100,137303
23200,137929
23300,138511
23400,139085
23500,139672
23600,140261
23700,140855
23800,141427
23900,142019
24000,142604
24100,143184
24200,143771
24300,144359
24400,144922
24500,145535
24600,146116
24700,146690
24800,147266
24900,147838
25000,148393
25100,148959
25200,149530
25300,150094
25400,150659
25500,151221
25600,151777
25700,152341
25800,152926
25900,153493
26000,154071
26100,154665
26200,155247
26300,155841
26400,156434
26500,157032
26600,157617
26700,158199
26800,158797
26900,159376
27000,159953
27100,160524
27200,161095
27300,161674
27400,162265
27500,162851
27600,163431
27700,164009
27800,164593
27900,165170
28000,165755
28100,166329
28200,166909
28300,167488
28400,168063
28500,168645
28600,169222
28700,169808
28800,170389
28900,170968
29000,171554
29100,172137
29200,172721
29300,173306
29400,173886
29500,174468
29600,175039
29700,175652
29800,176287
29900,176882
30000,177482
30100,178067
30200,178656
30300,179245
30400,179829
30500,180407
30600,180994
30700,181575
30800,182165
30900,182747
31000,183320
31100,183897
31200,184476
31300,185050
31400,185624
31500,186215
31600,186803
31700,187387
31800,187971
31900,188550
32000,189129
32100,189713
32200,190281
32300,190862
32400,191428
32500,192006
32600,192582
32700,193160
32800,193745
32900,194333
33000,194911
33100,195492
33200,196068
33300,196639
33400,197220
33500,197799
33600,198373
33700,198953
33800,199530
33900,200111
34000,200693
34100,201273
34200,201848
34300,202425
34400,202998
34500,203634
34600,204214
34700,204823
34800,205406
34900,205984
35000,206557
35100,207143
35200,207729
35300,208311
35400,208891
35500,209471
35600,210055
35700,210639
35800,211213
35900,211789
36000,212374
36100,212950
36200,213519
36300,214102
36400,214684
36500,215262
36600,215837
36700,216406
36800,216983
36900,217555
37000,218133
37100,218712
37200,219292
37300,219867
37400,220437
37500,221013
37600,221579
37700,222139
37800,222705
37900,223261
38000,223825
38100,224394
38200,224953
38300,225512
38400,226071
38500,226630
38600,227192
38700,227755
38800,228315
38900,228873
39000,229443
39100,230004
39200,230572
39300,231147
39400,231725
39500,232300
39600,232878
39700,233455
39800,234031
39900,234604
40000,235183
40100,235763
40200,236342
40300,236918
40400,237495
40500,238073
40600,238648
40700,239226
40800,239793
40900,240366
41000,240944
41100,241522
41200,242101
41300,242679
41400,243261
41500,243833
41600,244421
41700,245006
41800,245584
41900,246164
42000,246747
42100,247313
42200,247888
42300,248453
42400,249032
42500,249604
42600,250183
42700,250764
42800,251340
42900,251918
43000,252489
43100,253058
43200,253641
43300,254208
43400,254782
43500,255361
43600,255939
43700,256513
43800,257094
43900,257668
44000,258238
44100,258819
44200,259406
44300,259981
44400,260557
44500,261133
44600,261709
44700,262282
44800,262859
44900,263429
45000,263997
45100,264577
45200,265156
45300,265735
45400,266309
45500,266879
45600,267447
45700,268020
45800,268589
45900,269160
46000,269737
46100,270301
46200,270873
46300,272085
46400,272672
46500,273248
46600,273821
