step,elapsed_us
0,3955
100,6354
200,8753
300,9974
400,10846
500,12355
600,14452
700,15398
800,17212
900,19148
1000,20175
1100,22379
1200,23272
1300,25687
1400,27230
1500,28714
1600,30893
1700,31437
1800,32941
1900,34804
2000,36504
2100,38189
2200,39622
2300,41035
2400,41572
2500,43716
2600,45797
2700,47299
2800,49064
2900,50643
3000,52182
3100,54133
3200,55787
3300,57883
3400,59426
3500,61144
3600,62544
3700,64820
3800,66237
3900,67224
4000,68896
4100,70327
4200,72244
4300,73847
4400,75283
4500,76322
4600,78420
4700,78961
4800,80850
4900,83097
5000,85066
5100,86477
5200,87827
5300,89135
5400,91168
5500,92565
5600,94012
5700,95414
5800,96735
5900,98976
6000,99866
6100,101714
6200,103507
6300,105110
6400,106648
6500,108134
6600,109715
6700,110974
6800,112504
6900,114235
7000,115558
7100,116856
7200,118457
7300,120138
7400,121538
7500,122873
7600,123693
7700,125844
7800,127673
7900,129082
8000,130399
8100,131998
8200,134149
8300,135001
8400,137618
8500,139352
8600,141224
8700,142625
8800,144070
8900,145657
9000,147632
9100,148940
9200,150382
9300,151905
9400,153796
9500,155153
9600,155681
9700,157192
9800,158932
9900,160672
10000,162259
10100,163936
10200,165413
10300,166879
10400,168207
10500,169616
10600,171798
10700,173424
10800,174922
10900,176412
11000,178078
11100,180103
11200,181515
11300,183632
11400,185359
11500,186862
11600,188282
11700,189954
11800,192275
11900,193586
12000,195207
12100,196815
12200,198502
12300,200804
12400,203203
12500,205325
12600,206642
12700,208874
12800,210373
12900,211068
13000,212507
13100,214158
13200,215999
13300,218347
13400,220084
13500,221732
13600,223479
13700,224968
13800,226550
13900,227549
14000,228948
14100,230350
14200,232216
14300,233798
14400,235009
14500,236069
14600,237637
14700,239216
14800,241367
14900,242580
15000,244013
15100,245509
15200,246974
15300,248287
15400,249847
15500,250831
15600,252858
15700,254207
15800,255513
15900,257222
16000,259047
16100,260766
16200,262088
16300,264155
16400,266140
16500,267341
16600,268874
16700,271152
16800,272639
16900,274240
17000,276157
17100,277695
17200,279784
17300,281141
17400,283077
17500,285174
17600,286936
17700,288773
17800,290080
17900,291816
18000,294360
18100,295834
18200,298244
18300,299579
18400,300912
18500,302229
18600,303777
18700,305284
18800,306961
18900,308608
19000,310072
19100,311379
19200,312740
19300,313281
19400,314493
19500,315631
19600,317293
19700,318442
19800,320456
19900,322337
20000,324483
20100,326240
20200,327757
20300,329198
20400,330550
20500,332268
20600,333770
20700,335555
20800,337252
20900,339570
21000,341739
21100,343433
21200,344742
21300,346911
21400,348768
21500,350528
21600,352147
21700,353777
21800,355542
21900,357021
22000,358596
22100,359999
22200,361546
22300,363006
22400,365053
22500,366592
