step,elapsed_us
0,4137
500,12652
1000,20536
1500,29084
2000,36928
2500,46045
3000,54573
3500,63564
4000,71326
4500,78743
5000,87547
5500,95078
6000,102527
6500,110860
7000,118339
7500,125708
8000,133296
8500,142328
9000,150673
9500,158183
10000,165282
10500,172537
11000,181037
11500,189827
12000,198271
12500,208446
13000,215650
13500,224924
14000,232160
14500,239290
15000,247416
15500,254295
16000,262565
16500,270884
17000,279697
17500,288756
18000,298105
18500,306003
19000,313851
19500,319375
20000,328250
20500,336021
21000,345473
21500,354287
22000,362389
22500,370543
23000,379951
23500,388844
24000,397545
24500,403535
25000,411544
25500,419046
26000,429105
26500,436617
27000,444352
27500,454389
28000,462100
28500,469828
29000,476252
29500,484489
30000,492329
30500,499228
31000,507405
31500,515168
32000,522271
32500,531259
33000,538827
33500,547323
34000,556561
34500,564228
35000,573127
35500,579799
36000,586905
36500,595268
37000,605028
37500,612509
38000,619235
38500,626888
39000,634633
39500,643591
40000,651670
40500,659705
41000,669122
41500,676694
42000,683762
42500,693476
43000,702364
43500,710417
44000,718762
44500,725310
45000,731429
45500,739855
46000,748883
46500,759417
47000,767104
47500,776023
48000,782483
48500,792298
49000,800135
49500,809121
50000,815727
50500,824439
51000,833067
51500,840474
52000,848286
52500,855399
53000,863352
53500,872167
54000,881077
54500,888742
55000,896203
55500,906699
56000,913206
56500,921966
57000,929394
57500,936537
58000,944984
58500,952874
59000,960400
59500,968063
60000,975619
60500,983367
61000,990417
61500,998791
62000,1006332
62500,1014766
63000,1024073
63500,1033307
64000,1042296
64500,1050997
65000,1059847
65500,1068282
66000,1075408
66500,1083299
67000,1093093
67500,1101924
68000,1109475
68500,1116857
69000,1125141
69500,1132928
70000,1141560
70500,1150807
71000,1160081
71500,1167959
72000,1174609
72500,1182200
73000,1191389
73500,1199613
74000,1207337
74500,1215861
75000,1224385
75500,1231969
76000,1240960
76500,1248958
77000,1258440
77500,1266325
78000,1274864
78500,1281723
79000,1290287
79500,1298529
80000,1305064
80500,1314669
81000,1323083
81500,1330895
82000,1338201
82500,1346748
83000,1355328
83500,1363158
84000,1371601
84500,1378343
85000,1385724
85500,1393265
86000,1401538
86500,1410227
87000,1418170
87500,1426079
88000,1434211
88500,1441620
89000,1450397
89500,1457872
90000,1466254
90500,1473883
91000,1481104
