step,elapsed_us
0,5410
100,6047
200,6672
300,7182
400,7624
500,8142
600,8748
700,9217
800,9756
900,10323
1000,10764
1100,11359
1200,11794
1300,12384
1400,12903
1500,13419
1600,14010
1700,14422
1800,14941
1900,15503
2000,16027
2100,16576
2200,17075
2300,17587
2400,17994
2500,18571
2600,19130
2700,19645
2800,20192
2900,20715
3000,21231
3100,21803
3200,22301
3300,22869
3400,23438
3500,23979
3600,24507
3700,25126
3800,25658
3900,26126
4000,26671
4100,27185
4200,27735
4300,28245
4400,28758
4500,29213
4600,29786
4700,30203
4800,30768
4900,31357
5000,31897
5100,32411
5200,32899
5300,33393
5400,33968
5500,34493
5600,35053
5700,35580
5800,36113
5900,36725
6000,37160
6100,37724
6200,38265
6300,38804
6400,39331
6500,39845
6600,40345
6700,40825
6800,41358
6900,41893
7000,42386
7100,42887
7200,43426
7300,43969
7400,44475
7500,44971
7600,45418
7700,46005
7800,46568
7900,47071
8000,47419
8100,47786
8200,48249
8300,48581
8400,49028
8500,49405
8600,49789
8700,50143
8800,50505
8900,50878
9000,51274
9100,51618
9200,51978
9300,52334
9400,52719
9500,53068
9600,53344
9700,53717
9800,54082
9900,54443
10000,54805
10100,55156
10200,55531
10300,55901
10400,56262
10500,56630
10600,57072
10700,57449
10800,57818
10900,58180
11000,58613
11100,59022
11200,59379
11300,59773
11400,60153
11500,60510
11600,60872
11700,61250
11800,61686
11900,62028
12000,62390
12100,62775
12200,63152
12300,63560
12400,63991
12500,64394
12600,64747
12700,65181
12800,65543
12900,65865
13000,66221
13100,66561
13200,66953
13300,67385
13400,67760
13500,68341
13600,68707
13700,69075
13800,69444
13900,69765
14000,70114
14100,70459
14200,70864
14300,71245
14400,71587
14500,71918
14600,72292
14700,72652
14800,73081
14900,73429
15000,73801
15100,74165
15200,74519
15300,74883
15400,75256
15500,75570
15600,75990
15700,76348
15800,76703
15900,77081
16000,77498
16100,77886
16200,78244
16300,78653
16400,79140
16500,79488
16600,79873
16700,80305
16800,80669
16900,81048
17000,81458
17100,81832
17200,82245
17300,82608
17400,83020
17500,83431
17600,83816
17700,84206
17800,84568
17900,84953
18000,85406
18100,85769
18200,86204
18300,86570
18400,86924
18500,87268
18600,87633
18700,87994
18800,88370
18900,88765
19000,89125
19100,89471
19200,89840
19300,90129
19400,90456
19500,90792
19600,91172
19700,91504
19800,91954
19900,92395
20000,92828
20100,93214
20200,93575
20300,93962
20400,94323
20500,94706
20600,95079
20700,95578
20800,95970
20900,96405
21000,96806
21100,97188
21200,97533
21300,97952
21400,98344
21500,98724
21600,99176
21700,99550
21800,99933
21900,100320
22000,100713
22100,101071
22200,101447
22300,101813
22400,102222
22500,102598
22600,102972
22700,103384
22800,103749
22900,104168
23000,104589
23100,104978
23200,105358
23300,105720
23400,106175
23500,106527
23600,106904
23700,107278
23800,107700
23900,108125
24000,108478
24100,108825
24200,109167
24300,109465
24400,109824
24500,110177
24600,110533
24700,110895
24800,111254
24900,111597
25000,112000
25100,112381
25200,112738
25300,113093
25400,113427
25500,113793
25600,114241
25700,114648
25800,114975
25900,115397
26000,115797
26100,116131
26200,116506
26300,116868
26400,117224
26500,117628
26600,118007
26700,118376
26800,118676
26900,119460
27000,119873
27100,120287
27200,120720
27300,121068
27400,121452
27500,121891
27600,122227
27700,122610
27800,122966
27900,123355
28000,123732
28100,124081
28200,124458
28300,124809
28400,125211
28500,125577
28600,125939
28700,126300
28800,126658
28900,127018
29000,127342
29100,127709
29200,128111
29300,128474
29400,128862
29500,129225
29600,129637
29700,129947
29800,130290
29900,130711
30000,131078
30100,131430
30200,131776
30300,132141
30400,132466
30500,132834
30600,133185
30700,133549
30800,133910
30900,134304
31000,134669
31100,135025
31200,135376
31300,135722
31400,136109
31500,136496
31600,136844
31700,137150
31800,137527
31900,137905
32000,138247
32100,138596
32200,138996
32300,139334
32400,139770
32500,140163
32600,140555
32700,140924
32800,141293
32900,141601
33000,142019
33100,142355
33200,142724
33300,143147
33400,143504
33500,143886
33600,144245
33700,144661
33800,145104
33900,145473
34000,145841
34100,146190
34200,146552
34300,146914
34400,147293
34500,147680
34600,148076
34700,148459
34800,148851
34900,149234
35000,149618
35100,149934
35200,150321
35300,150686
35400,151052
35500,151394
35600,151696
35700,152077
35800,152444
35900,152824
36000,153171
36100,153540
36200,153971
36300,154321
36400,154694
36500,155048
36600,155402
36700,155812
36800,156196
36900,156618
37000,157056
37100,157425
37200,157761
37300,158116
37400,158496
37500,158858
37600,159168
37700,159551
37800,159910
37900,160276
38000,160652
38100,161031
38200,161409
38300,161787
38400,162153
38500,162525
38600,162935
38700,163327
38800,163706
38900,164113
39000,164415
39100,164840
39200,165229
39300,165651
39400,166006
39500,166371
39600,166721
39700,167096
39800,167473
39900,167874
40000,168245
40100,168635
40200,169016
40300,169457
40400,169828
40500,170154
40600,170548
40700,170915
40800,171335
40900,171728
41000,172170
41100,172521
41200,172902
41300,173286
41400,173610
41500,174025
41600,174393
41700,174708
41800,175057
41900,175413
42000,175813
42100,176199
42200,176588
42300,177013
42400,177383
42500,177763
42600,178119
42700,178490
42800,178861
42900,179214
43000,179636
43100,180025
43200,180528
43300,180911
43400,181298
43500,181656
43600,182012
43700,182370
43800,182729
43900,183141
44000,183520
44100,183877
44200,184187
44300,184551
44400,184908
44500,185264
44600,185625
44700,185998
44800,186280
44900,186625
45000,186984
45100,187358
45200,187738
45300,188119
45400,188491
45500,188908
45600,189313
45700,189668
45800,190052
45900,190419
46000,190824
46100,191266
46200,191709
46300,192098
46400,192470
46500,192893
46600,193247
46700,193610
46800,193999
46900,194392
47000,194747
47100,195185
47200,195502
47300,195916
47400,196341
47500,196693
47600,197057
47700,197405
47800,197782
47900,198144
48000,198463
48100,198893
48200,199315
48300,199706
48400,200102
48500,200444
48600,200906
48700,201295
48800,201690
48900,202074
49000,202401
49100,202796
49200,203130
49300,203562
49400,203922
49500,204323
49600,204636
49700,205022
49800,205419
49900,205783
50000,206084
50100,206497
50200,206874
50300,207276
50400,207636
50500,207979
50600,208346
50700,208705
50800,209095
50900,209463
51000,209894
51100,210253
51200,210610
51300,210910
51400,211333
51500,211691
51600,212097
51700,212448
51800,212826
51900,213184
52000,213532
52100,213892
52200,214202
52300,214585
52400,214951
52500,215298
52600,215704
52700,216080
52800,216392
52900,216766
53000,217157
53100,217552
53200,217901
53300,218273
53400,218693
53500,219061
53600,219421
53700,219804
53800,220903
53900,221212
54000,221640
54100,221996
54200,222380
54300,222710
54400,223071
54500,223467
54600,223851
54700,224205
54800,224554
54900,224953
55000,225317
55100,225771
55200,226182
55300,226587
55400,227009
55500,227364
55600,227687
55700,228081
55800,228422
55900,228786
56000,229157
56100,229617
56200,229998
56300,230390
56400,230743
56500,231093
56600,231467
56700,231807
56800,232172
56900,232519
57000,232942
57100,233259
57200,233636
57300,234026
57400,234379
57500,234757
57600,235139
57700,235449
57800,235853
57900,236271
58000,236646
58100,237011
58200,237449
58300,237790
58400,238191
58500,238518
58600,238888
58700,239242
58800,239617
58900,240039
59000,240363
59100,240716
59200,241034
59300,241400
59400,241827
59500,242207
59600,242560
59700,242925
59800,243315
59900,243687
60000,244042
60100,244399
60200,244785
60300,245131
60400,245517
60500,245903
60600,246229
60700,246595
60800,247011
60900,247341
61000,247722
61100,248152
61200,248550
61300,248944
61400,249277
61500,249630
61600,250015
61700,250395
61800,250759
61900,251117
62000,251476
62100,251849
62200,252285
62300,252610
62400,252996
62500,253344
62600,253726
62700,254145
62800,254543
62900,254954
63000,255314
63100,255678
63200,256025
63300,256480
63400,256870
63500,257304
63600,257688
63700,258034
63800,258390
63900,258826
64000,259234
64100,259669
64200,260054
64300,260455
64400,260796
