step,elapsed_us
0,5484
500,7872
1000,10164
1500,12495
2000,14788
2500,17013
3000,19326
3500,21716
4000,24070
4500,26291
5000,28618
5500,30882
6000,33209
6500,35556
7000,37773
7500,40018
8000,42299
8500,44790
9000,47115
9500,49349
10000,51507
10500,53783
11000,56240
11500,58600
12000,60927
12500,63411
13000,65714
13500,67580
14000,69129
14500,70705
15000,72359
15500,73909
16000,75597
16500,77346
17000,79069
17500,80791
18000,82513
18500,84143
19000,85781
19500,87249
20000,88990
20500,90634
21000,92514
21500,94194
22000,95958
22500,97609
23000,99348
23500,101039
24000,102706
24500,104199
25000,105800
25500,107368
26000,109114
26500,110722
27000,112731
27500,114486
28000,116114
28500,117737
29000,119284
29500,120928
30000,122536
30500,124074
31000,125665
31500,127259
32000,128782
32500,130476
33000,132096
33500,133727
34000,135431
34500,137032
35000,138779
35500,140338
36000,141891
36500,143534
37000,145285
37500,146867
38000,148440
38500,150085
39000,151740
39500,153449
40000,155081
40500,156747
41000,158502
41500,160128
42000,161694
42500,163394
43000,165030
43500,166817
44000,168453
44500,169976
45000,171484
45500,173168
46000,174833
46500,176627
47000,178249
47500,179948
48000,181509
48500,183244
49000,184861
49500,186540
50000,188169
50500,189824
51000,191493
51500,193056
52000,194661
52500,196205
53000,197823
53500,199479
54000,201818
54500,203423
55000,205041
55500,206827
56000,208404
56500,210088
57000,211678
57500,213261
58000,214908
58500,216551
59000,218163
59500,219774
60000,221378
60500,223015
61000,224615
61500,226284
62000,227911
62500,229551
63000,231274
63500,233021
64000,234714
64500,236446
65000,238150
65500,239835
66000,241987
66500,243642
67000,245392
67500,247077
68000,248674
68500,250305
69000,251983
69500,253618
70000,255329
70500,257113
71000,258846
71500,260488
72000,262022
72500,263651
73000,265383
73500,267027
74000,268716
74500,270398
75000,272072
75500,273669
76000,275339
76500,276941
77000,278808
77500,280456
78000,282102
78500,283640
79000,285365
79500,287014
80000,288580
80500,290343
81000,292001
81500,293625
82000,295173
82500,296875
83000,298525
83500,300112
84000,301753
84500,303319
85000,304892
85500,306498
86000,308173
86500,310164
87000,311823
87500,313441
88000,315085
88500,316675
89000,318344
89500,319936
90000,321583
90500,323205
91000,324793
