step,elapsed_us
0,671
10000,66794
20000,107557
30000,148653
40000,189452
50000,232865
60000,280204
70000,327788
80000,375520
90000,421318
100000,465846
110000,510307
120000,555607
130000,600166
140000,649602
150000,701892
160000,751952
170000,802144
180000,855196
190000,907090
200000,978483
210000,1050056
220000,1121889
230000,1193548
240000,1274495
250000,1346338
260000,1416080
270000,1485192
280000,1562703
290000,1633736
300000,1703687
310000,1774250
320000,1844587
330000,1916578
340000,1987639
350000,2058544
360000,2129270
370000,2199955
380000,2288193
390000,2359390
400000,2429625
410000,2499716
420000,2570915
430000,2641036
440000,2718159
450000,2790002
460000,2861610
470000,2932597
480000,3003056
490000,3074123
500000,3121484
510000,3162042
520000,3204959
530000,3245350
540000,3289777
550000,3363241
560000,3433298
570000,3503706
580000,3573960
590000,3645692
600000,3716169
610000,3787042
620000,3858294
630000,3928672
640000,3999186
650000,4069895
660000,4140587
670000,4211461
680000,4282164
690000,4364203
700000,4434749
710000,4505156
720000,4575662
730000,4646415
740000,4717308
750000,4788359
760000,4860060
770000,4931233
780000,5002773
790000,5073797
800000,5145187
810000,5216477
820000,5287550
830000,5358619
840000,5430038
850000,5501311
860000,5572261
870000,5643643
880000,5714886
890000,5785868
900000,5857907
910000,5929177
920000,6000504
930000,6071368
940000,6142535
950000,6214066
960000,6285111
970000,6356108
980000,6427402
990000,6498692
1000000,6570148
1010000,6641261
1020000,6712580
1030000,6783677
1040000,6854927
1050000,6932397
1060000,7010243
1070000,7081760
1080000,7153125
1090000,7224362
1100000,7295633
1110000,7366858
1120000,7438054
1130000,7508966
1140000,7580361
1150000,7651764
1160000,7723082
1170000,7794171
1180000,7866183
1190000,7937326
1200000,8008457
1210000,8079644
1220000,8151073
1230000,8222573
1240000,8294231
1250000,8365428
1260000,8436808
1270000,8508153
1280000,8579476
1290000,8650644
1300000,8721903
1310000,8793200
1320000,8865267
1330000,8936601
1340000,9007601
1350000,9078970
1360000,9150215
1370000,9221963
1380000,9293205
1390000,9364634
1400000,9435863
1410000,9507211
1420000,9578363
1430000,9650369
1440000,9723481
1450000,9794878
1460000,9867058
1470000,9938505
1480000,10009869
1490000,10081363
1500000,10145370
1510000,10192708
1520000,10239997
1530000,10287240
1540000,10338448
1550000,10385653
1560000,10432934
1570000,10479779
1580000,10532707
1590000,10579639
1600000,10626836
1610000,10674397
1620000,10722637
1630000,10773012
1640000,10820101
1650000,10867987
1660000,10916560
1670000,10976753
1680000,11041464
1690000,11107225
1700000,11177178
1710000,11247853
1720000,11319874
1730000,11390231
1740000,11460918
1750000,11531669
1760000,11601937
1770000,11670991
1780000,11725697
1790000,11778770
1800000,11839735
1810000,11905514
1820000,11976573
1830000,12050782
1840000,12125520
1850000,12200355
1860000,12274130
1870000,12349079
1880000,12423721
1890000,12498431
1900000,12573134
1910000,12647811
1920000,12721507
1930000,12794884
1940000,12868784
1950000,12963609
1960000,13037146
1970000,13110477
1980000,13181563
1990000,13253284
2000000,13324284
2010000,13395224
2020000,13466199
2030000,13537253
2040000,13608129
2050000,13679368
2060000,13750685
2070000,13821411
2080000,13893092
2090000,13971097
2100000,14053494
2110000,14124789
2120000,14196204
2130000,14267277
2140000,14338289
2150000,14409663
2160000,14481204
2170000,14552200
2180000,14623022
2190000,14694224
2200000,14765152
2210000,14835957
2220000,14907789
2230000,14978849
2240000,15049684
2250000,15120666
2260000,15192109
2270000,15263213
2280000,15334367
2290000,15405415
2300000,15476473
2310000,15547433
2320000,15618775
2330000,15690091
2340000,15761597
2350000,15832766
2360000,15905431
2370000,15976431
2380000,16047900
2390000,16119248
2400000,16190486
2410000,16261899
2420000,16333791
2430000,16405156
2440000,16476644
2450000,16547746
2460000,16619231
2470000,16690291
2480000,16761811
2490000,16833000
2500000,16905073
2510000,16976356
2520000,17047509
2530000,17119024
2540000,17190486
2550000,17262090
2560000,17333290
2570000,17404420
2580000,17475463
2590000,17546777
2600000,17618155
2610000,17689373
2620000,17760883
2630000,17833355
2640000,17905484
2650000,17976781
2660000,18048298
2670000,18119689
2680000,18196909
2690000,18268206
2700000,18339403
2710000,18410880
2720000,18482059
2730000,18553251
2740000,18624539
2750000,18695945
2760000,18767286
2770000,18838436
2780000,18910635
2790000,18981847
2800000,19053546
2810000,19125365
2820000,19197281
2830000,19269209
2840000,19341343
2850000,19412662
2860000,19483972
2870000,19555430
2880000,19626930
2890000,19698704
2900000,19769929
2910000,19841332
2920000,19913696
2930000,19985349
2940000,20056605
2950000,20127926
2960000,20200375
2970000,20271564
2980000,20343263
2990000,20414420
3000000,20485565
3010000,20556774
3020000,20622999
3030000,20670190
3040000,20717351
3050000,20764546
3060000,20815771
3070000,20863222
3080000,20910988
3090000,20958276
3100000,21008037
3110000,21056647
3120000,21103825
3130000,21151084
3140000,21198021
3150000,21249435
3160000,21296345
3170000,21343597
3180000,21391724
3190000,21446969
3200000,21513855
3210000,21582163
3220000,21650739
3230000,21724758
3240000,21793504
3250000,21862950
3260000,21934283
3270000,22005183
3280000,22076111
3290000,22147068
3300000,22218281
3310000,22289036
3320000,22359683
3330000,22418002
3340000,22478460
3350000,22548615
3360000,22619264
3370000,22689726
3380000,22760152
3390000,22830581
3400000,22902179
3410000,22972567
3420000,23042825
3430000,23113543
3440000,23184085
3450000,23254688
3460000,23325431
3470000,23395861
3480000,23466574
3490000,23532443
3500000,23604577
3510000,23672972
3520000,23742510
3530000,23812365
3540000,23883315
3550000,23953591
3560000,24023730
3570000,24094610
3580000,24165150
3590000,24235627
3600000,24306658
3610000,24372703
3620000,24437670
3630000,24508391
3640000,24579882
3650000,24651168
3660000,24722531
3670000,24793883
3680000,24866041
3690000,24938356
3700000,25009754
3710000,25080995
3720000,25159433
3730000,25230929
3740000,25302197
3750000,25373059
3760000,25443776
3770000,25514248
3780000,25584487
3790000,25655876
3800000,25729366
3810000,25800573
3820000,25898614
3830000,25969832
3840000,26041197
3850000,26113799
3860000,26185040
3870000,26256554
3880000,26327822
3890000,26398652
